CABLE NO.,ORIGINATION POINT,TERMINATION POINT,CABLE TYPE,"COLOR
?",WIRE 1,WIRE 2,WIRE 3,WIRE 4,WIRE 5,WIRE 6,WIRE 7,WIRE 8,WIRE 9,WIRE 10,CONDUIT SIZE,QTY,"REMARKS
??",Notes
TBV1-C7,SENSOR VACUUM UNIT PANEL,TB-V1,KDF-SBL 0.75 sq -4 C,-,"(BK)
PS-C1","(W)
PS-C2","(R)
PS-C3","(G)
(CUT)","(SH)
PS-CFG",,,,,,,,"?
7",ME?????
TBV1-C8,SENSOR VACUUM UNIT PANEL,TB-V1,KDF-SBL 0.75 sq -4,C,-,"(BK)
PS-E1","(W)
PS-E2","(R)
PS-E3","(G)
(CUT)","(SH)
PS-EFG",,,,,,,"?
7",ME?????
TBV1-C8,SENSOR VACUUM UNIT PANEL,TB-V1,KDF-SBL 0.75 sq -4 C,-,"(BK)
PS-E1","(W)
PS-E2","(R)
PS-E3","(G)
(CUT)","(SH)
PS-EFG",,,,,,,,"?
7",ME?????
TBV1-C9,SENSOR VACUUM UNIT PANEL,TB-V1,KX-S ×1,W,-,"0TM+
RED","0TM-
WHITE",,,,,,,,,,"?
6.1",
TBV1-C9,SENSOR VACUUM UNIT PANEL,TB-V1,KX-S ×1 W,-,"0TM+
RED","0TM-
WHITE",,,,,,,,,,,"?
6.1",
TBV2-C1,TB-V1,TB-V2,D-LIST-MTW 14 AWG - 10 C,,"24P
SP-TBV2-2 SP-
TBV2-12","1A
SP-TBV2-3 SP-
TBV2-13","1B
SP-TBV2-4 SP-
TBV2-14","2A
SP-TBV2-5 SP-
TBV2-15","2B
SP-TBV2-6 SP-
TBV2-16","V-SOL
0802
SP-TBV2-7 SP-
TBV2-17","V-SOL
0803
SP-TBV2-8 SP-
TBV2-18","V-SOL
0804
SP-TBV2-9 SP-
TBV2-19","SP-
TBV2-1
SP-TBV2-10 SP-
TBV2-20","G
SP-TBV2-11
CUT",KPF-54,,"?
20.2",ME?????
TBV2-C1,TB-V1,TB-V2,D-LIST-MTW 18 AWG - 20 C,,"SP-
TBV2-2","SP-
TBV2-3","SP-
TBV2-4","SP-
TBV2-5","SP-
TBV2-6","SP-
TBV2-7","SP-
TBV2-8","SP-
TBV2-9","SP-
TBV2-10","SP-
TBV2-11",,,"?
20.2",ME?????
TBV2-C1,TB-V1,TB-V2,,,"SP-
TBV2-12","SP-
TBV2-13","SP-
TBV2-14","SP-
TBV2-15","SP-
TBV2-16","SP-
TBV2-17","SP-
TBV2-18","SP-
TBV2-19","SP-
TBV2-20",CUT,,,,1
TBV2-C10 TBV2-C13,TB-V1,TB-V2,KDF-SBL 0.75 sq - 4 C,-,SP-TBV2-MVVS1,,,,,,,,1,,,,"?
7",ME?????
TBV2-C14,TB-V1,TB-V2,KX-S ×1 W,-,"0TM+ 0TM-
RED WHITE
1TM+ 1TM-
RED WHITE",,,,,,,,,,,,"?
6.1",ME?????
TBV2-C15,TB-V1,TB-V2,KX-S ×1 W,,,,,,,,,,,,,,"?
6.1",ME?????
TBV2-C2,TB-V1,TB-V2,D-LIST-MTW 18 AWG - 20 C,,,,,,,,,,,,,,"?
20",ME?????
TBV2-C2,TB-V1,TB-V2,,,,,,,,,,,,,,,,
TBV2-C2,TB-V1,TB-V2,MTW 14 AWG ×1 W,G/Y,G,,,,,,,,,,,,"?
3.7",
TBV2-C3,TB-V1,TB-V2,KDF-SBL 0.75 sq - 4 C,-,"(BK)
V-1-A-1","(W)
V-1-B-2","(R)
V-1-D-3","(G)
V-1-E-4","(SH)
V-1-C-2",,,,,,,,"?
7",ME?????
TBV2-C4,TB-V1,TB-V2,KDF-SBL 2 sq - 2 C,-,"(BK)
V-1-CN2-8","(W)
V-1-CN2-10","(SH)
FG",,,,,,,,,,"?
7.8",ME?????
TBV2-C5,TB-V1,TB-V2,KDF-SBL 0.75 sq - 4 C,-,"(BK)
V-2-A-1","(W)
V-2-B-2","(R)
V-2-D-3","(G)
V-2-E-4","(SH)
V-2-C-2",,,,,,,,"?
7",ME?????
TBV2-C6,TB-V1,TB-V2,KDF-SBL 2 sq - 2 C,-,"(BK)
V-2-CN2-8","(W)
V-2-CN2-10","(SH)
FG",,,,,,,,,,"?
7.8",ME?????
TBV2-C7,TB-V1,TB-V2,"KDF-SBL 0.75 sq - 4 C
KDF-SBL 0.75 sq - 4 C
KDF-SBL 0.75 sq - 4 C","-
-
-","(BK)
PS-D1 (BK) PS-C1 (BK)
PS-E1","(W)
PS-D2 (W) PS-C2 (W)
PS-E2","(R)
PS-D3 (R) PS-C3 (R)
PS-E3","(G)
(CUT)
(G)
(CUT)
(G)
(CUT)","(SH)
PS-DFG (SH) PS-CFG (SH)
PS-EFG",,,,,,KPF-54,,"?
7",ME?????
TBV2-C7 TBV2-C10,TB-V1,TB-V2,KDF-SBL 0.75 sq - 4 C,-,"(BK)
P24A","(W)
N24","(R)
HV11+","(G)
HV12-","(SH)
SG G",,,,,,,,"?
7",ME?????
TBV2-C8,TB-V1,TB-V2,,,,,,,,,,,,,,,"?
7",ME?????
TBV2-C8 TBV2-C11,TB-V1,TB-V2,KDF-SBL 0.75 sq - 4 C,-,"(BK)
P24A","(W)
N24","(R)
HV21+","(G)
HV22-","(SH)
SG G",,,,,,,,"?
7",ME?????
TBV2-C9,TB-V1,TB-V2,,,,,,,,,,,,,1,,"?
7",ME?????
TBV2-C9 TBV2-C12,TB-V1,TB-V2,KDF-SBL 0.75 sq - 4 C,-,"(BK)
P24A","(W)
N24","(R)
HV31+","(G)
HV32-","(SH)
SG G",,,,,,,,"?
7",ME?????
VCON1-C1,SENSOR VACUUM UNIT PANEL,CONECTOR BOX 1,KDF-SBL 0.75 sq -4 C,-,"(BK)
V-1-MSNS1-P","(W)
V-1-MSNS1-N","(R)
V-1-MSNS2-P","(G)
V-1-MSNS2-N","(SH)
FG",,,,,,KMS-16,,"?
7",ME?????
VCON1-C2,SENSOR VACUUM UNIT PANEL,CONECTOR BOX 1,MTW 14 AWG ×1 W,G/Y,G,,,,,,,,,,,,"?
3.7",
VCON2-C1,SENSOR VACUUM UNIT PANEL,CONECTOR BOX 2,KDF-SBL 0.75 sq -4 C,-,"(BK)
V-2-MSNS1-P","(W)
V-2-MSNS1-N","(R)
V-2-MSNS2-P","(G)
V-2-MSNS2-N","(SH)
FG",,,,,,KMS-16,,"?
7",ME?????
VCON2-C2,SENSOR VACUUM UNIT PANEL,CONECTOR BOX 2,MTW 14 AWG ×1 W,G/Y,G,,,,,,,,,,,,"?
3.7",
VCON3-C1,TB-V2,CONECTOR BOX 3,KDF-SBL 0.75 sq -4 C,-,"(BK)
V-1-A-1","(W)
V-1-B-2","(R)
V-1-D-3","(G)
V-1-E-4","(SH)
V-1-C-2",,,,,,,,"?
7",ME?????
VCON3-C2,TB-V2,CONECTOR BOX 3,KDF-SBL 2 sq -2 C,-,"(BK)
V-1-CN2-8","(W)
V-1-CN2-10","(SHILDE)
FG",,,,,,,,KMS-22,,"?
7.8",ME?????
VCON3-C3,TB-V2,CONECTOR BOX 3,MTW 14 AWG ×1 W,G/Y,G,,,,,,,,,,,,"?
3.7",
VCON4-C1,TB-V2,CONECTOR BOX 4,KDF-SBL 0.75 sq -4 C,-,"(BK)
V-2-A-1","(W)
V-2-B-2","(R)
V-2-D-3","(G)
V-2-E-4","(SH)
V-2-C-2",,,,,,,,"?
7",ME?????
