Item,Item Description,Item Status,Quantity,Subinventory,UOM,Cost,Organization
AJ-2570-M-P2-NEW,LOCKING SYTLE METRIC PAD RETAINER,Inactive,0,,,75,AAC KOKI
B-0581-P1,1ZO038A.......B-581  UC26M250  ERON,Active,15,STOCK CAGE,EA,156.34,AAC KOKI
B-0581-P2,2A080A.....B-581  UC26M250  ERON,Active,20,STOCK CAGE,EA,82.15,AAC KOKI
B-0582-P2-NEW,2A027A.....ECI 000..... TA-B2 12X380 SOCKET BOLT,Active,12,STOCK CAGE,EA,14.35,AAC KOKI
B-0583-P1,1ZO037A.....B-583  BM24175  NABEYA,Active,39,STOCK CAGE,EA,17.48,AAC KOKI
B-0583-P2,2A042C.....B-583  BM24175  NABEYA,Active,10,STOCK CAGE,EA,17.48,AAC KOKI
B-0584-P1,1ZO037B.....B-584  BM24200  ERON,Active,32,STOCK CAGE,EA,15.43,AAC KOKI
B-0584-P2,2A042B.....B-584  BM24200  ERON,Active,8,STOCK CAGE,EA,12.52,AAC KOKI
B-0585-P1,1ZO037D.....B-585  BM24150  ERON,Active,33,STOCK CAGE,EA,16.93,AAC KOKI
B-0585-P2,2A042D.....B-585  BM24150  ERON,Active,7,STOCK CAGE,EA,16.93,AAC KOKI
B-0586-P1,1ZO037C.....B-586  BM24125  ERON,Active,29,STOCK CAGE,EA,12.33,AAC KOKI
B-0586-P2,2A042A.....B-586  BM24125  ERON,Active,4,STOCK CAGE,EA,9.99,AAC KOKI
B-0587-P1,"1ZO037E.....B-587  TNM824(24MM THREAD HOLE,null,null);;;  ERON",Active,25,STOCK CAGE,EA,18.29,AAC KOKI
B-0587-P2,"2A080G.....B-587  TNM824(24MM THREAD HOLE,null,null);;;  ERON",Active,15,STOCK CAGE,EA,18.29,AAC KOKI
B-0588-P1,"1ZO037F.....B-588  FNM0024(24X3.0,null,null);;;  ERON",Active,32,STOCK CAGE,EA,16.93,AAC KOKI
B-0588-P2,"2A080H.....B-588  FNM0024(24X3.0,null,null);;;  ERON",Active,10,STOCK CAGE,EA,16.93,AAC KOKI
B-100-HEXB11-TA-A1-20X090,2A053A.....B-100 TA-A1-20X090  NISSEI SEIKO,Active,15,STOCK CAGE,EA,2.25,AAC KOKI
B-101-HEXB11-TA-A1-20X100,2A053B.....TA-A1-20X100  NISSEI SEIKO,Active,10,STOCK CAGE,EA,1.8,AAC KOKI
B-102-HEXB11-TA-A1-20X105,2A053D.....B-102 TA-A1-20X105  NISSEI SEIKO,Active,14,STOCK CAGE,EA,6.82,AAC KOKI
B-103-HEXB11-TA-A1-20X110,2A053E.....B-103  TA-A1-20X110  NISSEI SEIKO,Active,16,STOCK CAGE,EA,1.9,AAC KOKI
B-104-HEXB11-TA-A1-20X115,2A053F.....B-104  TA-A1-20X115  NISSEI SEIKO,Active,0,,,2.78,AAC KOKI
B-105-HEXB11-TA-A1-20X120,2A053G.....B-105  TA-A1-20X120  NISSEI SEIKO,Active,20,STOCK CAGE,EA,2.25,AAC KOKI
B-106-HEXB11-TA-A1-20X130,2A054B.....B-106  TA-A1-20X130  NISSEI SEIKO,Active,0,,,2.9945,AAC KOKI
B-107-HEXB11-TA-A1-20X140,2A054D.....B-107  TA-A1-20X140  NISSEI SEIKO,Active,20,STOCK CAGE,EA,2.99,AAC KOKI
B-108-HEXB11-TA-A1-20X145,2A054E.....B-108  TA-A1-20X145  NISSEI SEIKO,Active,16,STOCK CAGE,EA,6.61,AAC KOKI
B-109-HEXB11-TA-A1-20X150,2A054F.....B-109  TA-A1-20X150  NISSEI SEIKO,Active,20,STOCK CAGE,EA,3.2,AAC KOKI
B-110-HEXB11-TA-A1-20X160,2A054G.....B-110  TA-A1-20X160  NISSEI SEIKO,Active,5,STOCK CAGE,EA,11.21,AAC KOKI
B-111-HEXB11-TA-A1-20X170,2A055C.....B-111  TA-A1-20X170  NISSEI SEIKO,Active,20,STOCK CAGE,EA,3.46,AAC KOKI
B-112-HEXB11-TA-A1-20X180,2A055E.....B-112  TA-A1-20X180  NISSEI SEIKO,Active,9,STOCK CAGE,EA,18.39,AAC KOKI
B-113-HEXB11-TA-A1-20X190,2A056A.....B-113  TA-A1-20X190  NISSEI SEIKO,Active,3,STOCK CAGE,EA,4.33,AAC KOKI
B-114-HEXB11-TA-A1-20X200,2A056B.....B-114  TA-A1-20X200  NISSEI SEIKO,Active,5,STOCK CAGE,EA,26.26,AAC KOKI
B-115-HEXB11-TA-A1-20X210,2A056C.....B-115  TA-A1-20X210  NISSEI SEIKO,Active,3,STOCK CAGE,EA,5.96,AAC KOKI
B-116-HEXB11-TA-A1-20X220,2A056E.....B-116  TA-A1-20X220  NISSEI SEIKO,Active,10,STOCK CAGE,EA,7.7,AAC KOKI
B-117-HEXB11-TA-A1-20X230,2A056G.....B-117  TA-A1-20X230  NISSEI SEIKO,Active,11,STOCK CAGE,EA,5.15,AAC KOKI
B-118-HEXB11-TA-A1-20X240,2A057A.....B-118  TA-A1-20X240  NISSEI SEIKO,Active,12,STOCK CAGE,EA,8.49,AAC KOKI
B-119-HEXB11-TA-A1-20X250,2A057C.....B-119  TA-A1-20X250  NISSEI SEIKO,Active,7,STOCK CAGE,EA,7.47,AAC KOKI
B-11-HEXB11-TA-A1-08X020,2A042F.....TA-A1-08X020  NISSEI SEIKO,Active,18,STOCK CAGE,EA,0.07,AAC KOKI
B-120-HEXB11-TA-A1-20X270,2A057G.....B-120  TA-A1-20X270  NISSEI SEIKO,Active,7,STOCK CAGE,EA,15.84,AAC KOKI
B-121-HEXB11-TA-A1-20X280,2A058A.....B-121  TA-A1-20X280  NISSEI SEIKO,Active,11,STOCK CAGE,EA,16.4,AAC KOKI
B-122-HEXB11-TA-A1-20X290,2A058C.....B-122  TA-A1-20X290  NISSEI SEIKO,Active,7,STOCK CAGE,EA,18.8,AAC KOKI
B-123-HEXB11-TA-A1-20X300,2A058E.....B-123  TA-A1-20X300  NISSEI SEIKO,Active,12,STOCK CAGE,EA,6.18,AAC KOKI
B-124-HEXB11-TA-A1-20X310,2A058G.....B-124  TA-A1-20X310  NISSEI SEIKO,Active,5,STOCK CAGE,EA,26.79,AAC KOKI
B-125-HEXB11-TA-A1-20X320,2A059A.....B-125  TA-A1-20X320  NISSEI SEIKO,Active,12,STOCK CAGE,EA,36.39,AAC KOKI
B-126-HEXB11-TA-A1-20X335,2A059C.....B-126  TA-A1-20X335  NISSEI SEIKO,Active,20,STOCK CAGE,EA,34.75,AAC KOKI
B-127-HEXB11-TA-A1-20X340,2A059E.....B-127  TA-A1-20X340  NISSEI SEIKO,Active,20,STOCK CAGE,EA,6.28,AAC KOKI
B-128-HEXB11-TA-A1-20X165,2A055A.....B-128  TA-A1-20X165  NISSEI SEIKO,Active,16,STOCK CAGE,EA,3.41,AAC KOKI
B-12-HEXB11-TA-A1-08X070,2A042G.....TA-A1-08X070  NISSEI SEIKO,Active,13,STOCK CAGE,EA,0.58,AAC KOKI
B-130-HEXB11-TA-A1-20X260,2A057E.....B-130  TA-A1-20X260  NISSEI SEIKO,Active,8,STOCK CAGE,EA,14.23,AAC KOKI
B-131-HEXB11-TA-A1-20X125,2A054A.....B-131  TA-A1-20X125  NISSEI SEIKO,Active,6,STOCK CAGE,EA,4.7,AAC KOKI
B-132-HEXB11-TA-A1-20X135,2A054C.....B-132  TA-A1-20X135  NISSEI SEIKO,Active,0,,,7.84,AAC KOKI
B-133-HEXB11-TA-A1-20X185,2A055G.....B-133  TA-A1-20x185  NISSEI SEIKO,Active,7,STOCK CAGE,EA,11.08,AAC KOKI
B-13-HEXB11-TA-A1-08X095,2A042H.....TA-A1-08X095  NISSEI SEIKO,Active,8,STOCK CAGE,EA,0.64,AAC KOKI
B-141-HEXB11-TA-A1-22X070,2A059G.....B-141  TA-A1-22X070  NISSEI SEIKO,Active,10,STOCK CAGE,EA,5.12,AAC KOKI
B-14-HEXB11-TA-A1-08X100,2A043A.....TA-A1-08X100  NISSEI SEIKO,Active,37,STOCK CAGE,EA,0.58,AAC KOKI
B-151-HEXB11-TA-A1-24X065,2A060A.....B-151  TA-A1-24X065  NISSEI SEIKO,Active,6,STOCK CAGE,EA,5.53,AAC KOKI
B-152-HEXB11-TA-A1-24X070,2A060B.....B-152  TA-A1-24X070  NISSEI SEIKO,Active,13,STOCK CAGE,EA,5.45,AAC KOKI
B-153-HEXB11-TA-A1-24X075,2A060C.....B-153  TA-A1-24X075  NISSEI SEIKO,Active,13,STOCK CAGE,EA,2.99,AAC KOKI
B-154-HEXB11-TA-A1-24X080,2A060D.....B-154  TA-A1-24X080  NISSEI SEIKO,Active,10,STOCK CAGE,EA,3.19,AAC KOKI
B-155-HEXB11-TA-A1-24X085,2A060E.....B-155  TA-A1-24X85  NISSEI SEIKO,Active,9,STOCK CAGE,EA,3.59,AAC KOKI
B-156-HEXB11-TA-A1-24X090,2A060F.....B-156  TA-A1-24X090  NISSEI SEIKO,Active,14,STOCK CAGE,EA,2.83,AAC KOKI
B-157-HEXB11-TA-A1-24X095,2A060G.....B-157  TA-A1-24X095  NISSEI SEIKO,Active,16,STOCK CAGE,EA,3.85,AAC KOKI
B-158-HEXB11-TA-A1-24X100,2A060H.....B-158  TA-A1-24X100  NISSEI SEIKO,Active,10,STOCK CAGE,EA,7.87,AAC KOKI
B-159-HEXB11-TA-A1-24X105,2A062A.....B-159  TA-A1-24X105  NISSEI SEIKO,Active,13,STOCK CAGE,EA,12.39,AAC KOKI
B-160-HEXB11-TA-A1-24X110,2A062B.....B-160  TA-A1-24X110  NISSEI SEIKO,Active,16,STOCK CAGE,EA,11.34,AAC KOKI
B-161-HEXB11-TA-A1-24X120,2A062C.....B-161  TA-A1-24X120  NISSEI SEIKO,Active,13,STOCK CAGE,EA,4.59,AAC KOKI
B-162-HEXB11-TA-A1-24X130,2A062G.....B-162  TA-A1-24X130  NISSEI SEIKO,Active,27,STOCK CAGE,EA,5.53,AAC KOKI
B-163-HEXB11-TA-A1-24X135,2A063A.....B-163  TA-A1-24X135  NISSEI SEIKO,Active,8,STOCK CAGE,EA,7.31,AAC KOKI
B-164-HEXB11-TA-A1-24X140,2A063C.....B-164  TA-A1-24X140  NISSEI SEIKO,Active,57,STOCK CAGE,EA,4.63,AAC KOKI
B-165-HEXB11-TA-A1-24X145,2A063E.....B-165  TA-A1-24X145  NISSEI SEIKO,Active,8,STOCK CAGE,EA,9.76,AAC KOKI
B-166-HEXB11-TA-A1-24X150,2A063G.....B-166  TA-A1-24X150  NISSEI SEIKO,Active,9,STOCK CAGE,EA,6.26,AAC KOKI
B-167-HEXB11-TA-A1-24X160,2A064A.....B-167  TA-A1-24X160  NISSEI SEIKO,Active,10,STOCK CAGE,EA,5.34,AAC KOKI
B-168-HEXB11-TA-A1-24X170,2A064C.....B-168  TA-A1-24X170  NISSEI SEIKO,Active,10,STOCK CAGE,EA,27.62,AAC KOKI
B-169-HEXB11-TA-A1-24X180,2A064G.....B-169  TA-A1-24X180  NISSEI SEIKO,Active,5,STOCK CAGE,EA,4.75,AAC KOKI
B-170-HEXB11-TA-A1-24X185,2A065A.....B-170  TA-A1-24X185  NISSEI SEIKO,Active,4,STOCK CAGE,EA,12.9,AAC KOKI
B-171-HEXB11-TA-A1-24X190,2A065C.....B-171  TA-A1-24X190  NISSEI SEIKO,Active,10,STOCK CAGE,EA,6.14,AAC KOKI
B-172-HEXB11-TA-A1-24X200,2A065E.....B-172  TA-A1-24X200  NISSEI SEIKO,Active,30,STOCK CAGE,EA,6.4,AAC KOKI
B-173-HEXB11-TA-A1-24X205,2A065G.....B-173  TA-A1-24X205  NISSEI SEIKO,Active,19,STOCK CAGE,EA,9.27,AAC KOKI
B-174-HEXB11-TA-A1-24X210,2A066A.....B-174  TA-A1-24X210  NISSEI SEIKO,Active,12,STOCK CAGE,EA,12.91,AAC KOKI
B-175-HEXB11-TA-A1-24X230,2A066E.....B-175  TA-A1-24X230  NISSEI SEIKO,Active,5,STOCK CAGE,EA,18.77,AAC KOKI
B-176-HEXB11-TA-A1-24X240,2A066F.....B-176  TA-A1-24X240  NISSEI SEIKO,Active,10,STOCK CAGE,EA,6.81,AAC KOKI
B-177-HEXB11-TA-A1-24X250,2A066G.....B-177  TA-A1-24X250  NISSEI SEIKO,Active,20,STOCK CAGE,EA,8.66,AAC KOKI
B-178-HEXB11-TA-A1-24X260,2A067A.....B-178  TA-A1-24X260  NISSEI SEIKO,Active,5,STOCK CAGE,EA,16.06,AAC KOKI
B-179-HEXB11-TA-A1-24X270,2A067C.....B-179  TA-A1-24X270  NISSEI SEIKO,Active,10,STOCK CAGE,EA,16.6,AAC KOKI
B-180-HEXB11-TA-A1-24X280,2A067E.....B-180  TA-A1-24X280  NISSEI SEIKO,Active,11,STOCK CAGE,EA,19.64,AAC KOKI
B-181-HEXB11-TA-A1-24X290,2A067G.....B-181  TA-A1-24X290  NISSEI SEIKO,Active,2,STOCK CAGE,EA,20.4,AAC KOKI
B-182-HEXB11-TA-A1-24X300,2A068A.....B-182  TA-A1-24X300  NISSEI SEIKO,Active,15,STOCK CAGE,EA,22.4,AAC KOKI
B-183-HEXB11-TA-A1-24X310,2A068C.....B-183  TA-A1-24X310  NISSEI SEIKO,Active,5,STOCK CAGE,EA,36.68,AAC KOKI
B-184-HEXB11-TA-A1-24X330,2A068G.....B-184  TA-A1-24X330  NISSEI SEIKO,Active,22,STOCK CAGE,EA,38.74,AAC KOKI
B-185-HEXB11-TA-A1-24X340,2A069A.....B-185  TA-A1-24X340  NISSEI SEIKO,Active,16,STOCK CAGE,EA,27.49,AAC KOKI
B-186-HEXB11-TA-A1-24X320,2A068E.....B-186  TA-A1-24X320  NISSEI SEIKO,Active,16,STOCK CAGE,EA,40.81,AAC KOKI
B-187-HEXB11-TA-A1-24X350,2A069C.....B-187  TA-A1-24X350  NISSEI SEIKO,Active,4,STOCK CAGE,EA,40.55,AAC KOKI
B-188-HEXB11-TA-A1-24X175,2A064E.....B-188  TA-A1-24X175  NISSEI SEIKO,Active,9,STOCK CAGE,EA,14.01,AAC KOKI
B-189-HEXB11-TA-A1-24X060,2A059H.....B-189  TA-A1-24X060  NISSEI SEIKO,Active,9,STOCK CAGE,EA,5.45,AAC KOKI
B-190-HEXB11-TA-A1-24X125,2A062E.....B-190  TA-A1-24X125  NISSEI SEIKO,Active,3,STOCK CAGE,EA,4.63,AAC KOKI
B-191-HEXB11-TA-A1-24X220,2A066C.....B-191  TA-A1-24X220  NISSEI SEIKO,Active,11,STOCK CAGE,EA,10.81,AAC KOKI
B-19-HEXB11-TA-A1-12X35,2A043C.....TA-A1-12X35  NISSEI SEIKO,Active,13,STOCK CAGE,EA,0.4,AAC KOKI
B-1-HEXB11-TA-A1-05X035,2A042E.....B-1 TA-A1-05X035  NISSEI SEIKO,Active,34,STOCK CAGE,EA,0.5,AAC KOKI
B-201-HEXB11-TA-A1-30X090,2A069G.....B-201  TA-A1-30X090  NISSEI SEIKO,Active,8,STOCK CAGE,EA,6.29,AAC KOKI
B-202-HEXB11-TA-A1-30X100,2A070A.....B-202  TA-A1-30X100  NISSEI SEIKO,Active,10,STOCK CAGE,EA,6.83,AAC KOKI
B-203-HEXB11-TA-A1-30X110,2A070E.....B-203  TA-A1-30X110  NISSEI SEIKO,Active,10,STOCK CAGE,EA,6.47,AAC KOKI
B-204-HEXB11-TA-A1-30X115,2A070G.....B-204  TA-A1-30X115  NISSEI SEIKO,Active,4,STOCK CAGE,EA,13.84,AAC KOKI
B-205-HEXB11-TA-A1-30X120,2A070H.....B-205  TA-A1-30X120  NISSEI SEIKO,Active,2,STOCK CAGE,EA,8.05,AAC KOKI
B-206-HEXB11-TA-A1-30X130,2A072A.....B-206  TA-A1-30X130  NISSEI SEIKO,Active,13,STOCK CAGE,EA,22.94,AAC KOKI
B-207-HEXB11-TA-A1-30X140,2A072D.....B-207  TA-A1-30X140  NISSEI SEIKO,Active,6,STOCK CAGE,EA,8.98,AAC KOKI
B-208-HEXB11-TA-A1-30X45,2A069D.....B-208  TA-A1-30X45  NISSEI SEIKO,Active,5,STOCK CAGE,EA,18.24,AAC KOKI
B-209-HEXB11-TA-A1-30X160,2A072E.....B-209  TA-A1-30X160  NISSEI SEIKO,Active,13,STOCK CAGE,EA,7.81,AAC KOKI
B-20-HEXB11-TA-A1-12X40,2A043D.....TA-A1-12X40  NISSEI SEIKO,Active,20,STOCK CAGE,EA,0.31,AAC KOKI
B-210-HEXB11-TA-A1-30X190,2A072G.....B-210  TA-A1-30X190  NISSEI SEIKO,Active,5,STOCK CAGE,EA,33.75,AAC KOKI
B-211-HEXB11-TA-A1-30X200,2A073A.....B-211  TA-A1-30X200  NISSEI SEIKO,Active,11,STOCK CAGE,EA,35.42,AAC KOKI
B-212-HEXB11-TA-A1-30X210,2A073C.....B-212  TA-A1-30X210  NISSEI SEIKO,Active,8,STOCK CAGE,EA,15.13,AAC KOKI
B-213-HEXB11-TA-A1-30X240,2A073G.....B-213  TA-A1-30X240  NISSEI SEIKO,Active,7,STOCK CAGE,EA,14.67,AAC KOKI
B-214-HEXB11-TA-A1-30X250,2A073H.....B-214  TA-A1-30X250  NISSEI SEIKO,Active,7,STOCK CAGE,EA,17.54,AAC KOKI
B-215-HEXB11-TA-A1-30X260,2A074A.....B-215  TA-A1-30X260  NISSEI SEIKO,Active,5,STOCK CAGE,EA,28.71,AAC KOKI
B-216-HEXB11-TA-A1-30X270,2A074B.....B-216  TA-A1-30X270  NISSEI SEIKO,Active,1,STOCK CAGE,EA,16.32,AAC KOKI
B-217-HEXB11-TA-A1-30X290,2A074D.....B-217  TA-A1-30X290  NISSEI SEIKO,Active,5,STOCK CAGE,EA,19.1,AAC KOKI
B-218-HEXB11-TA-A1-30X310,2A074E.....B-218  TA-A1-30X310  NISSEI SEIKO,Active,5,STOCK CAGE,EA,50,AAC KOKI
B-219-HEXB11-TA-A1-30X340,2A075A.....B-219  TA-A1-30X340  NISSEI SEIKO,Active,15,STOCK CAGE,EA,19.05,AAC KOKI
B-220-HEXB11-TA-A1-30X410,2A075E.....B-220  TA-A1-30X410  NISSEI SEIKO,Active,8,STOCK CAGE,EA,105.53,AAC KOKI
B-221-HEXB11-TA-A1-30X320,2A074G.....B-221  TA-A1-30X320  NISSEI SEIKO,Active,6,STOCK CAGE,EA,48.87,AAC KOKI
B-222-HEXB11-TA-A1-30X105,2A070C.....B-222  TA-A1-30X105  NISSEI SEIKO,Active,6,STOCK CAGE,EA,11.44,AAC KOKI
B-223-HEXB11-TA-A1-30X135,2A072C.....B-223  TA-A1-30X135  NISSEI SEIKO,Active,11,STOCK CAGE,EA,21.81,AAC KOKI
B-224-HEXB11-TA-A1-30X280,2A074C.....B-224  TA-A1-30X280  NISSEI SEIKO,Active,12,STOCK CAGE,EA,17.09,AAC KOKI
B-225-HEXB11-TA-A1-30X330,2A074F.....B-225  TA-A1-30X330  NISSEI SEIKO,Active,4,STOCK CAGE,EA,42.23,AAC KOKI
B-226-TA-A1-30X220,"2A073E.....B-226  TA-A1-30X220 ( cut to 215 ,null,null);;;  NISSEI SEIKO",Active,6,STOCK CAGE,EA,16.37,AAC KOKI
B-227-HEXB11-TA-A1-30X230,2A073F.....B-227  TA-A1-30X230  NISSEI SEIKO,Active,20,STOCK CAGE,EA,17,AAC KOKI
B-228-HEXB11-TA-A1-30X390,2A075C.....B-228  TA-A1-30X390  NISSEI SEIKO,Active,5,STOCK CAGE,EA,65.8,AAC KOKI
B-231-HEXB11-TA-A1-33X150,2A075H.....B-231  TA-A1-33X150  NISSEI SEIKO,Active,2,STOCK CAGE,EA,13.3,AAC KOKI
B-23-HEXB11-TA-A1-12X045,2A043E.....TA-A1-12X045  NISSEI SEIKO,Active,14,STOCK CAGE,EA,0.33,AAC KOKI
B-241-HEXB11-TA-A1-36X100,2A076A.....B-241  TA-A1-36X100  NISSEI SEIKO,Active,5,STOCK CAGE,EA,8.14,AAC KOKI
B-242-HEXB11-TA-A1-36X140,2A076B.....B-242  TA-A1-36X140  NISSEI SEIKO,Active,10,STOCK CAGE,EA,18.09,AAC KOKI
B-243-HEXB11-TA-A1-36X160,2A076C.....B-243  TA-A1-36X160  NISSEI SEIKO,Active,5,STOCK CAGE,EA,46.541,AAC KOKI
B-244-HEXB11-TA-A1-36X380,2A076G.....B-244  TA-A1-36X380  NISSEI SEIKO,Active,5,STOCK CAGE,EA,115.99,AAC KOKI
B-245-HEXB11-TA-A1-36X420,2A077E.....B-245  TA-A1-36X420  NISSEI SEIKO,Active,5,STOCK CAGE,EA,114.95,AAC KOKI
B-246-HEXB11-TA-A1-36X450,2A077G.....B-246  TA-A1-36X450  NISSEI SEIKO,Active,7,STOCK CAGE,EA,106.24,AAC KOKI
B-247-HEXB11-TA-A1-36X390,2A077A.....B-247  TA-A1-36X390  NISSEI SEIKO,Active,16,STOCK CAGE,EA,94.09,AAC KOKI
B-248-HEXB11-TA-A1-36X370,2A076E.....B-248  TA-A1-36X370  NISSEI SEIKO,Active,18,STOCK CAGE,EA,70.28,AAC KOKI
B-249-HEXB11-TA-A1-36X400,2A077C.....B-249  TA-A1-36X400  NISSEI SEIKO,Active,23,STOCK CAGE,EA,83.32,AAC KOKI
B-24-HEXB11-TA-A1-12X055,2A043G.....TA-A1-12X055  NISSEI SEIKO,Active,24,STOCK CAGE,EA,0.55,AAC KOKI
B-250,2A076D.....HEX HEAD BOLT... 36X230... M200TAC,Active,2,STOCK CAGE,EA,19.5,AAC KOKI
B-251-HEXB11-TA-A1-42X160,2A078C.....B-251  TA-A1-42X160  NISSEI SEIKO,Active,5,STOCK CAGE,EA,39.49,AAC KOKI
B-252-HEXB11-TA-A1-42X170,2A078E.....B-252  TA-A1-42X170  NISSEI SEIKO,Active,12,STOCK CAGE,EA,39.84,AAC KOKI
B-253-HEXB11-TA-A1-42X190,2A079A.....B-253  TA-A1-42X190  NISSEI SEIKO,Active,27,STOCK CAGE,EA,45.88,AAC KOKI
B-254-HEXB11-TA-A1-42X140,2A078A.....B-254  TA-A1-42X140  NISSEI SEIKO,Active,5,STOCK CAGE,EA,29.54,AAC KOKI
B-255-HEXB11-TA-A1-42X450,2A079E.....B-255  TA-A1-42X450  YAHATA,Active,15,STOCK CAGE,EA,135.84,AAC KOKI
B-259-SOCBOLT-TA-B2-3X5,1ZN019B.....B-259  TA-B2-3X5       NISSEI SEIKO,Active,81,STOCK CAGE,EA,0.06,AAC KOKI
B-25-HEXB11-TA-A1-12X080,2A044A.....TA-A1-12X080  NISSEI SEIKO,Active,12,STOCK CAGE,EA,0.4,AAC KOKI
B-260-SOCBOLT-TA-B2-3X6,1ZN019C.....B-260  TA-B2-3X6       NISSEI SEIKO,Active,36,STOCK CAGE,EA,0.06,AAC KOKI
B-261-SOCBOLT-TA-B2-03X008,1ZN019D.....B-261  TA-B2-03X008  NISSEI SEIKO,Active,21,STOCK CAGE,EA,0.04,AAC KOKI
B-262-SOCBOLT-TA-B2-3X20,1ZN019E.....B-262  TA-B2-3X20      NISSEI SEIKO,Active,133,STOCK CAGE,EA,0.06,AAC KOKI
B-26-HEXB11-TA-A1-12X085,2A044B.....TA-A1-12X085  NISSEI SEIKO,Active,6,STOCK CAGE,EA,0.39,AAC KOKI
B-270-SOCBOLT-TA-B2-4X8,1ZN019F.....B-270  TA-B2-4X8      NISSEI SEIKO,Active,11,STOCK CAGE,EA,0.08,AAC KOKI
B-271-SOCBOLT-TA-B2-4X10,1ZN019G.....B-271  TA-B2-4X10     NISSEI SEIKO,Active,602,STOCK CAGE,EA,0.06,AAC KOKI
B-272-SOCBOLT-TA-B2-4X30,1ZN028B.....B-272  TA-B2-4X30  NISSEI SEIKO,Active,62,STOCK CAGE,EA,0.06,AAC KOKI
B-273-SOCBOLT-TA-B2-4X15,1ZN028A.....B-273  TA-B2-4X15  NISSEI SEIKO,Active,8,STOCK CAGE,EA,0.06,AAC KOKI
B-274-SOCBOLT-TA-B2-4X12,1ZN019H.....B-274   TA-B2-4X12  NISSEI SEIKO,Active,78,STOCK CAGE,EA,0.04,AAC KOKI
B-27-HEXB11-TA-A1-12X260,2A044E.....B-27   TA-A1-12X260  NISSEI SEIKO,Active,7,STOCK CAGE,EA,12.53,AAC KOKI
B-280-SOCBOLT-TA-B2-6X50,1ZN037D.....B-280   TA-B2-6X50  NISSEI SEIKO,Active,12,STOCK CAGE,EA,0.09,AAC KOKI
B-281-SOCBOLT-TA-B2-05X005,1ZN028C.....B-281  TA-B2-05X005  NISSEI SEIKO,Active,494,STOCK CAGE,EA,0.06,AAC KOKI
B-282-SOCBOLT-TA-B2-05X008,1ZN028D.....B-282  TA-B2-05X008  NISSEI SEIKO,Active,170,STOCK CAGE,EA,0.04,AAC KOKI
B-283-SOCBOLT-TA-B2-05X015,INACTIVE.....B-283  TA-B2-05X015  NISSEI SEIKO,Inactive,0,,,0.06,AAC KOKI
B-284-SOCBOLT-TA-B2-05X020,INACTIVE.....B-284  TA-B2-05X020  NISSEI SEIKO,Inactive,0,,,0.06,AAC KOKI
B-285-SOCBOLT-TA-B2-05X025,INACTIVE.....B-285  TA-B2-05X025  NISSEI SEIKO,Inactive,0,,,0.06,AAC KOKI
B-286-SOCBOLT-TA-B2-05X035,INACTIVE.....B-286  TA-B2-05X035  NISSEI SEIKO,Inactive,0,,,0.05,AAC KOKI
B-287-SOCBOLT-TA-B2-05X045,INACTIVE.....B-287  TA-B2-05X045  NISSEI SEIKO,Inactive,0,,,0.08,AAC KOKI
B-288-SOCBOLT-TA-B2-05X040,INACTIVE.....B-288  TA-B2-05X040  NISSEI SEIKO,Inactive,0,,,0.08,AAC KOKI
B-289-SOCBOLT-TA-B2-05X12,1ZN028E.....B-289  TA-B2-05X12  NISSEI SEIKO,Active,54,STOCK CAGE,EA,0.04,AAC KOKI
B-28-HEXB11-TA-A1-12X400,2A044G.....B-28  TA-A1-12X400  NISSEI SEIKO,Active,5,STOCK CAGE,EA,26.67,AAC KOKI
B-290-SOCBOLT-TA-B2-05X10,INACTIVE.....B-290  TA-B2-05X10  NISSEI SEIKO,Inactive,0,,,0.04,AAC KOKI
B-291-1-SOCBOLT-TA-B2-5X140,1ZN028G.....B-291-1  TA-B2-5X140  NISSEI SEIKO,Active,1,STOCK CAGE,EA,0.27,AAC KOKI
B-292-SOCBOLT-TA-B2-5X70,1ZN028F.....B-292  TA-B2-5X70  NISSEI SEIKO,Active,77,STOCK CAGE,EA,0.08,AAC KOKI
B-294-SOCBOLT-TA-B2-8X10,1ZN011E.....B-294  TA-B2-8X10  NISSEI SEIKO,Active,29,STOCK CAGE,EA,0.1,AAC KOKI
B-295,INACTIVE.....B-295  TA-B2-8X35  NISSEI SEIKO,NoPurchase,0,,,0.12,AAC KOKI
B-296-SOCBOLT-TA-B2-8X100,1ZN029A.....B-296  TA-B2-8X100  NISSEI SEIKO,Active,109,STOCK CAGE,EA,0.56,AAC KOKI
B-298-SOCBOLT-TA-B28X40,INACTIVE.....B-298  TA-B2 8X40  NISSEI SEIKO,Inactive,0,,,0.13,AAC KOKI
B-299-SOCBOLT-TA-B2-08X50,INACTIVE.....B-299  TA-B2-08X50  NISSEI SEIKO,Inactive,0,,,0.18,AAC KOKI
B-29-HEXB11-TA-A1-12X100,2A044D.....TA-A1-12X100  NISSEI SEIKO,Active,6,STOCK CAGE,EA,2.57,AAC KOKI
B-2-ALLTHBO-M12X90L,2A044C.....M12x90L  YAHATA,Active,5,STOCK CAGE,EA,4.94,AAC KOKI
B-300-SOCBOLT-TA-B2-06X065,OBSOLETE.....B-300  TA-B2-06X065  NISSEI SEIKO  [SAME AS B-310],Inactive,0,,,0.18,AAC KOKI
B-301-SOCBOLT-TA-B2-06X010,1ZN028H.....B-301  TA-B2-06X010  NISSEI SEIKO,Active,8,STOCK CAGE,EA,0.05,AAC KOKI
