Item,Item Description,Item Status,Quantity,Subinventory,UOM,Cost,Organization
DCGQ6533-P1-NEW,1ZN094E-1......ECI-A10....C3 SLIDE CORE PIN C3D2,Active,0,,,104,AAC KOKI
DCGQ6534-P1-NEW,1ZN094E-2......ECI-A10....C3 SLIDE CORE PIN C3D3,Active,0,,,119,AAC KOKI
DCGQ6541-P1-NEW,1ZN094E-3......ECI-000....MOVABLE CORE PIN BUSHING A11,Active,2,STOCK CAGE,EA,112,AAC KOKI
DCGQ6542-P1-NEW,1ZN094F...ECI 000....MOVABLE CORE PIN BUSHING A12,Active,3,STOCK CAGE,EA,149,AAC KOKI
DCGQ6720-P1-NEW,1ZN094H-1.....ECI 000.....EJECTOR PIN BUSHING,Active,6,STOCK CAGE,EA,145,AAC KOKI
DCGQ69400-P1-NEW,1ZN095B......ECI A9....SPRUE CORE,Active,5,STOCK CAGE,EA,1250,AAC KOKI
DCGQ69401-P1-NEW,1ZN095A......ECI 000....SPRUE BUSHING,Active,4,STOCK CAGE,EA,970,AAC KOKI
DCGQ69402-P1-NEW,1ZN096A......ECI..A9....SPRUE CORE COOLING PLUG,Active,5,STOCK CAGE,EA,290,AAC KOKI
DCGQ69403-P1-NEW,1ZN096B......ECI 000....SPRUE BUSHING ROTATION STOPPER BLOCK,Active,3,STOCK CAGE,EA,82,AAC KOKI
DCGR60001-P2-NEW,2D025E.....ECI-000.....SLIDE BAR #6 & GUIDE BAR #7 (2 PC SET ASSEMBLED ),Active,2,STOCK CAGE,EA,104.11,AAC KOKI
DCGR60002-P2-NEW,INACTIVE.....ECI-000.....GUIDE BAR #7,Inactive,0,,,42.67,AAC KOKI
DCGR60003-P2-NEW,2D025F.....ECI-000.....COUPLING,Inactive,0,,,242.35,AAC KOKI
DCGR6250A-P2-NEW,2D022A.....MISUMI HIGH DEFLECTION COIL SPRING  [SRW50-275],Inactive,0,,,20.03,AAC KOKI
DCGR6301-P2-NEW,.......ECI A14....MOVABLE CORE,Inactive,0,,,8653.41,AAC KOKI
DCGR6302-P2-NEW,2D030A......ECI-A108....MOVABLE INSERT CORE,Inactive,0,,,7500,AAC KOKI
DCGR6303-P2-IR,2D022B......ECI-A53....MOVABLE SPRUE CORE,Inactive,0,,,#N/A,AAC KOKI
DCGR6303-P2-NEW,2D022B......ECI-A53....MOVABLE SPRUE CORE,Inactive,0,,,695,AAC KOKI
DCGR6304-P2-NEW,"2D022C-1......ECI D5....SHUT OFF  MOVABLE INSERT A SH 1,4,5,8",Inactive,0,,,139.5,AAC KOKI
DCGR6305-P2-NEW,2D022C-2......ECI D5....SHUT OFF  MOVABLE INSERT B SH 2,Inactive,0,,,139.5,AAC KOKI
DCGR6306-P2-NEW,2D022D-1......ECI D5....SHUT OFF  MOVABLE INSERT C SH 3,Inactive,0,,,139.5,AAC KOKI
DCGR6307-P2-NEW,2D022D-2......ECI D5....SHUT OFF  MOVABLE INSERT D SH 6,Inactive,0,,,139.5,AAC KOKI
DCGR6308-P2-NEW,2D022D-3......ECI D5....SHUT OFF  MOVABLE INSERT E SH 7,Inactive,0,,,139.5,AAC KOKI
DCGR6309-P2-NEW,2D022D-4.....ECI-A70.....MOVABLE BUSHING PIN SH4,Inactive,0,,,228.85,AAC KOKI
DCGR6310-P2-LCL,2D022E......ECI D5....MOVABLE TV,Inactive,0,,,#N/A,AAC KOKI
DCGR6310-P2-NEW,2D022E......ECI D5....MOVABLE TV,Active,0,,,564.77,AAC KOKI
DCGR6312-P2-NEW,2D028H.....ECI A101....MOVABLE SPRUE CORE,Inactive,0,,,829,AAC KOKI
DCGR6350-P2-NEW,......ECI A32....STATIONARY CORE,Inactive,0,,,8323.86,AAC KOKI
DCGR6355-P2-NEW,OBSOLETE......ECI-A93....RUNNER PAD-PLATE STATIONARY HOLDING BLOCK A,Inactive,0,,,2340,AAC KOKI
DCGR6356-P2-LCL,OBSOLETE......ECI A81....RUNNER PAD-PLATE STATIONARY HOLDING BLOCK B,Inactive,0,,,#N/A,AAC KOKI
DCGR6356-P2-NEW,OBSOLETE......ECI A81....RUNNER PAD-PLATE STATIONARY HOLDING BLOCK B,Inactive,0,,,4950,AAC KOKI
DCGR6357-P2-NEW,OBSOLETE......ECI A60....SPRUE BUSHING PLATE,Inactive,0,,,2178,AAC KOKI
DCGR6358-P2-NEW,2D022F......ECI D5....STATIONARY SHUT OFF KEY,Inactive,0,,,44.75,AAC KOKI
DCGR6360-P2-LCL,2D022G......ECI D5....STATIONARY TV,Inactive,0,,,#N/A,AAC KOKI
DCGR6360-P2-NEW,2D022G......ECI D5....STATIONARY TV,Inactive,0,,,859,AAC KOKI
DCGR6371A-P2-NEW,2D012B-1.....ECI-000.....STATIONARY LOCATION BLOCK A,Inactive,0,,,85.25,AAC KOKI
DCGR6371B-P2-NEW,2D012B-2.....ECI-000.....STATIONARY LOCATION BLOCK B,Inactive,0,,,85.25,AAC KOKI
DCGR6390-P2-NEW,2C081A.....ECI-000.....SAFE-SPIRAL-HOSE PROTECTOR 032C100BK,Inactive,0,,,770,AAC KOKI
DCGR6401-P2-NEW,OBSOLETE......ECI A17....C1 SLIDE CORE  (ORDERED AS NEEDED),Inactive,0,,,3149,AAC KOKI
DCGR6402-P2-LCL,OBSOLETE.....ECI D5....C2 SLIDE CORE   (ORDERED AS NEEDED),Inactive,0,,,#N/A,AAC KOKI
DCGR6402-P2-NEW,OBSOLETE......ECI D5....C2 SLIDE CORE   (ORDERED AS NEEDED),Inactive,0,,,3369,AAC KOKI
DCGR6403-P2-LCL,OBSOLETE......ECI A18....C3 SLIDE CORE   (ORDERED AS NEEDED),Inactive,0,,,#N/A,AAC KOKI
DCGR6403-P2-NEW,OBSOLETE......ECI A18....C3 SLIDE CORE   (ORDERED AS NEEDED),Inactive,0,,,3249,AAC KOKI
DCGR6404-P2-LCL,OBSOLETE......ECI A17....C4 SLIDE CORE   (ORDERED AS NEEDED),Inactive,0,,,#N/A,AAC KOKI
DCGR6404-P2-NEW,OBSOLETE......ECI A17....C4 SLIDE CORE   (ORDERED AS NEEDED),Inactive,0,,,3349,AAC KOKI
DCGR6410-P2-NEW,2D028A.....ECI-A105.....C1 SLIDE COTTER,Inactive,0,,,1271.25,AAC KOKI
DCGR6411C-P2-NEW,2D022H......ECI 000....C1 COOLING PIPE WCSP6-200,Inactive,0,,,5.65,AAC KOKI
DCGR6411-P2-NEW,2D023A.......ECI D5....C1 SLIDE HOLDER,Inactive,0,,,1580,AAC KOKI
DCGR6419-P2-NEW,2D023B......ECI D5....C1 SLIDE ANGULAR PIN,Inactive,0,,,42.9,AAC KOKI
DCGR6420-P2-NEW,2D028D.....ECI-A41.....C2 SLIDE COTTER,Inactive,0,,,766.15,AAC KOKI
DCGR6421-P2-NEW,2D023C......ECI D5....C2 SLIDE HOLDER,Inactive,0,,,1850,AAC KOKI
DCGR6430-P2-NEW,2D028E.....ECI-A105.....C3 SLIDE COTTER,Inactive,0,,,660,AAC KOKI
DCGR6440-P2-NEW,2D028F.....ECI-A41.....C4 SLIDE COTTER,Inactive,0,,,716.4,AAC KOKI
DCGR6461-P2-NEW,2D023D......ECI D5....SLIDE CUTTING HOLDER,Inactive,0,,,489,AAC KOKI
DCGR6462-P2-NEW,2D023E......ECI-A36...GATE CUTTER,Inactive,0,,,295,AAC KOKI
DCGR6463-P2-NEW,2D023F......ECI D5....GATE CUTTER GUIDE KEY,Inactive,0,,,218,AAC KOKI
DCGR6484-P2-NEW,2D023G.....ECI D5....GUIDE PIN BUSHING STAT BLOCK A,Inactive,0,,,255,AAC KOKI
DCGR6491-P2-NEW,2D024A......ECI-A52....SHUT OFF STATIONARY INSERT,Inactive,0,,,595,AAC KOKI
DCGR6501-P2-NEW,2D024B-1......ECI-A108....MOVABLE CORE PIN AD1,Inactive,0,,,22.39,AAC KOKI
DCGR6511-P2-NEW,2D024B-2......ECI A106....STATIONARY CORE PIN BD1,Inactive,0,,,16.71,AAC KOKI
DCGR6514-P2-NEW,2D024B-3......ECI A106....STATIONARY CORE PIN BD4,Inactive,0,,,25.42,AAC KOKI
