Order Number,Drawing Number,Equipment,Cable Number,Originating Point,Termination Point,Cable Type,Cable Color,Wire1,Wire2,Wire3,Wire4,Wire5,Wire6,Wire7,Wire8,Wire9,Wire10,Conduit Size,Conduit Qty,Notes
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-GF-C2-2,CONTROL PANEL,VACUUM UNIT,MTW 16 AWG x 15 W,RED,SPGF25,SPGF26,SPGF27,SPGF28,SPGF29,,,,,,KMS-28,3.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-GF-C2-3,CONTROL PANEL,VACUUM UNIT,MTW 12 AWG × 1 W,G,,,,,,,,,,,,4.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-GF-C3-1,CONTROL PANEL,VACUUM UNIT,MTW 14 AWG×3 W,BU,P24,SPGF31,SPGF32,,,,,,,,,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-GF-C3-2,CONTROL PANEL,VACUUM UNIT,MTW 14 AWG×2 W,B/W,N24,SPGF33,,,,,,,,,KMS-28,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-GF-C3-3,CONTROL PANEL,VACUUM UNIT,MTW 16 AWG x 10 W,BU,X2712,X2713,X2714,X2715,SPGF34,SPGF35,SPGF36,SPGF37,SPGF38,SPGF39,,3.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-F3-C1-1,CONTROL PANEL,TB-F3,MTW 14 AWG×2 W,B/W,N24,SP TBF3-1,,,,,,,,,Φ,3.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-F3-C1-2,CONTROL PANEL,TB-F3,MTW 16 AWG×2 W,BU,Y3610,SP TBF3-2,,,,,,,,,Φ,3.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-F3-C1-3,CONTROL PANEL,TB-F3,UE/2501-SB (N)/TC LF 18 AWG-4 C,PW24,NW24,20200,20201,20202,SHILED,,,,,,KMS-36,11.3,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-F3-C1-4,CONTROL PANEL,TB-F3,UE/2501-SB (N)/TC LF 18 AWG-4 C,PW24,NW24,20210,20211,20212,SHILED,,,,,,KMS-36,11.3,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-F3-C1-5,CONTROL PANEL,TB-F3,MTW 12 AWG × 1 W,G,,,,,,,,,,,Φ,4.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-RBT-C1-1,CONTROL PANEL,ROBOT I/F PANEL,MTW 16 AWG × 20 W,OR,11300,11301,11302,11303,11304,11305,SPRBT 01,SPRBT 02,SPRBT 03,SPRBT 04,Φ,3.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-RBT-C1-1,CONTROL PANEL,ROBOT I/F PANEL,MTW 16 AWG × 20 W,OR,11310,11311,11312,11313,11314,11315,SPRBT 05,SPRBT 06,SPRBT 07,SPRBT 08,Φ,3.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-RBT-C1-2,CONTROL PANEL,ROBOT I/F PANEL,MTW 16 AWG × 14 W,BU,2000,2009,2010,2019,2200,2209,2210,2219,SPRBT 10,SPRBT 11,KMS-36,3.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-RBT-C1-2,CONTROL PANEL,ROBOT I/F PANEL,MTW 16 AWG × 14 W,BU,SPRBT 12,SPRBT 13,SPRBT 14,SPRBT 15,,,,,,,KMS-36,3.3,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,CP-RBT-C1-3,CONTROL PANEL,ROBOT I/F PANEL,MTW 12 AWG × 1 W,G,,,,,,,,,,,Φ,4.3,
