Date,Plant,Shift,Machine Number,Part Description,Die Number,Die Related Downtime Reason,Die Related Downtime Minutes,Die Related Downtime Notes,DRD DT Description,DRD Start Time,DRD Stop Time
1-Mar-22,AAC Plant 2,1,1650-1,"103E Oil Pan, No. 1  DC",3,Cavity Damage,135,core-5 insert ng; broke pin on s/s,Die Related,01:45 PM,04:00 PM
1-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Stuck part(Die),20,stuck month stamp,Die Related,05:15 AM,05:35 AM
1-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,3,Die Polish,20,epolish; galling in spline; called dm,Die Related,01:10 PM,01:30 PM
1-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,3,L/S Issue,35,core-1 l/s fault,Die Related,07:25 AM,08:00 AM
1-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Flash Out,10,small biscuit; flashed out on c-1,Die Related,09:10 AM,09:20 AM
1-Mar-22,AAC Plant 2,1,2250-2,744 TA HOUSING AWD DC,2,L/S Issue,15,c-1 l/s fault; runner hung on ;/s,Die Related,08:40 AM,08:55 AM
1-Mar-22,AAC Plant 2,1,2250-4,946F Crankcase DC,12,Die Polish,25,epolish,Die Related,11:00 AM,11:25 AM
1-Mar-22,AAC Plant 2,1,2250-5,G298 TA HOUSING AWD DC,5,Die Chip/Crack,40,die chip repair; qe request; called dm,Die Related,11:40 AM,12:20 PM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Die Polish,50,trim press warping a-cavity; called dm,Die Related,01:10 PM,02:00 PM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Die Polish,45,trim press build up; causing warped parts and drag marks; called dm,Die Related,07:05 AM,07:50 AM
1-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,Stuck part(Die),18,stuck part; die open time over,Die Related,09:20 AM,09:38 AM
1-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,11,Die Polish,7,epolish; galling,Die Related,03:14 PM,03:21 PM
1-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,11,Die Polish,17,epolish; metal build up,Die Related,09:02 AM,09:19 AM
1-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,5,Other (Die),8,back stop bolt loose; called dm,Die Related,05:15 AM,05:23 AM
1-Mar-22,AAC Plant 2,2,2250-1,946F Crankcase DC,1,Die Polish,45,qc request epolish,Die Related,05:15 PM,06:00 PM
1-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,7,Hydraulic Issue (Die),45,hydraulic leak; busted line on c-1,Die Related,10:00 PM,10:45 PM
1-Mar-22,AAC Plant 2,2,2250-2,744 TA HOUSING FWD DC,1,Other (Die),25,bisc broke; undercut; called dm,Die Related,10:50 PM,11:15 PM
1-Mar-22,AAC Plant 2,2,2250-3,G298 TA HOUSING AWD DC,2,Die Polish,15,qc request; heaving galling,Die Related,02:50 AM,03:05 AM
1-Mar-22,AAC Plant 2,2,2250-6,984F Crankcase DC,2,Vacuum (Die),25,vac block leaking air; called dm,Die Related,05:15 PM,05:40 PM
1-Mar-22,AAC Plant 2,2,2250-8,19MY NONPTO TRANSMISSION CASE DC,1,Die Chip/Crack,25,die chip on c-2; called dm,Die Related,03:55 AM,04:20 AM
1-Mar-22,AAC Plant 2,2,800-1,744K CENTER SUPPORT DC,6,Die Polish,14,qc request epolish,Die Related,10:24 PM,10:38 PM
1-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,11,Die Polish,14,epolish; galling on part; called dm,Die Related,03:58 AM,04:12 AM
1-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,11,Die Polish,10,epolish; qc request,Die Related,03:21 AM,03:31 AM
2-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Die Polish,15,Carry over polish,Die Related,11:30 AM,11:45 AM
2-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Water Leak,150,Pulled m/s; Spruce core leaking,Die Related,02:00 PM,04:30 PM
2-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,L/S Issue,40,C2 l/s not reading return,Die Related,08:00 AM,08:40 AM
2-Mar-22,AAC Plant 2,1,2250-11,BC01 Transmission Case DC,8,Die Polish,60,E polish per qc,Die Related,06:00 AM,07:00 AM
2-Mar-22,AAC Plant 2,1,2250-11,BC01 Transmission Case DC,8,Die Polish,35,NG polish; C3 ng,Die Related,07:05 AM,07:40 AM
2-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Flash Out,15,Core 1 insert over; Flash out,Die Related,02:45 PM,03:00 PM
2-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Vacuum (Die),250,Flashed thru vacuum block,Die Related,08:20 AM,12:30 PM
2-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Stuck part(Die),55,C2 not reading; Stuck part,Die Related,08:35 AM,09:30 AM
2-Mar-22,AAC Plant 2,1,2250-2,744 TA HOUSING FWD DC,1,Die Chip/Crack,75,Die chip repair; Thick flash in deburr area,Die Related,03:05 PM,04:30 PM
2-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,2,Cavity Damage,20,Chunk out on c2,Die Related,09:00 AM,09:20 AM
2-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,2,Water Leak,155,Water leak on c2 and squeeze pin,Die Related,05:15 AM,07:50 AM
2-Mar-22,AAC Plant 2,1,2250-7,881 Oil Pan DC,6,Die Chip/Crack,20,Die chip c1,Die Related,04:10 PM,04:30 PM
2-Mar-22,AAC Plant 2,1,2250-7,881 Oil Pan DC,6,Water Flow (Die),10,Shrikage crack,Die Related,08:50 AM,09:00 AM
2-Mar-22,AAC Plant 2,1,2250-7,881 Oil Pan DC,6,Water Leak,10,Busted hyd line; Changed hose,Die Related,06:15 AM,06:25 AM
2-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Stuck part(Die),25,Stuck part; Shot ls fwd; Large biscuit,Die Related,05:15 AM,05:40 AM
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,Stuck part(Die),30,bisc broke in ss,Die Related,04:00 PM,04:30 PM
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,Flash Out,58,ng hydr fitting on C3-ss-powder in,Die Related,07:36 AM,08:34 AM
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,Stuck part(Die),-30,,,,
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,Flash Out,-58,,,,
2-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,11,Die Polish,51,epolish,Die Related,08:39 AM,09:30 AM
2-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,11,Die Polish,13,epolish,Die Related,06:54 AM,07:07 AM
2-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,7,Stuck part(Die),14,ls plug not plugged in all the way,Die Related,02:36 PM,03:09 PM
2-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,7,Stuck part(Die),9,,Die Related,02:36 PM,02:45 PM
2-Mar-22,AAC Plant 2,2,1650-1,"103E Oil Pan, No. 1  DC",3,Hydraulic Issue (Die),10,Hyd leak,Die Related,05:15 PM,05:25 PM
2-Mar-22,AAC Plant 2,2,2250-1,946F Crankcase DC,1,Die Polish,60,E polish; QC requested,Die Related,07:10 PM,08:10 PM
2-Mar-22,AAC Plant 2,2,2250-1,946F Crankcase DC,1,Die Polish,55,E polish; QC requested,Die Related,11:15 PM,12:10 AM
2-Mar-22,AAC Plant 2,2,2250-10,G300 TRANSMISSION CASE DC,1,Die Chip/Crack,50,Die chip on c4,Die Related,03:40 AM,04:30 AM
2-Mar-22,AAC Plant 2,2,2250-11,BC01 Transmission Case DC,8,Cavity Damage,80,Broke pin m/s,Die Related,03:10 AM,04:30 AM
2-Mar-22,AAC Plant 2,2,2250-11,BC01 Transmission Case DC,8,Die Polish,50,E polish,Die Related,06:40 PM,07:30 PM
2-Mar-22,AAC Plant 2,2,2250-12,BC01 Transmission Case DC,12,Die Polish,40,E polish,Die Related,03:20 AM,04:00 AM
2-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,7,Water Flow (Die),10,Water flow fault,Die Related,08:50 AM,09:00 AM
2-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,7,Water Flow (Die),10,Water flow fault; M/s power cool pin break detect,Die Related,10:35 PM,10:45 PM
2-Mar-22,AAC Plant 2,2,2250-2,744 TA HOUSING FWD DC,1,Dimensional(Die),25,NG die repair,Die Related,05:35 PM,06:00 PM
2-Mar-22,AAC Plant 2,2,2250-2,744 TA HOUSING FWD DC,2,Die Chip/Crack,80,Die chip,Die Related,01:10 AM,02:30 AM
2-Mar-22,AAC Plant 2,2,2250-5,G298 TA HOUSING AWD DC,3,Die Chip/Crack,50,Die chip; m/s and s/s c3,Die Related,01:40 AM,02:30 AM
2-Mar-22,AAC Plant 2,2,2250-7,A467 Adaptor DC,3,Die Polish,35,Polish,Die Related,02:20 AM,02:55 AM
2-Mar-22,AAC Plant 2,2,800-1,744K CENTER SUPPORT DC,3,Stuck part(Die),30,stuck shot,Die Related,04:00 AM,04:30 AM
2-Mar-22,AAC Plant 2,2,800-1,744K CENTER SUPPORT DC,3,Flash Out,58,c3 powder pin flashed thru,Die Related,07:36 PM,08:34 PM
2-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,7,Flash Out,10,Flashed out thru a&b,Die Related,01:48 AM,01:58 AM
2-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,7,Die Polish,8,E polish,Die Related,12:34 AM,12:42 AM
2-Mar-22,AAC Plant 2,2,800-3,G300 CENTER SUPPORT DC,8,Die Polish,5,Polish,Die Related,01:01 AM,01:06 AM
3-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Die Polish,25,qc req,Die Related,03:20 PM,03:45 PM
3-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Die Chip/Crack,25,carry over from 4s,Die Related,11:05 AM,11:30 AM
3-Mar-22,AAC Plant 2,1,2250-11,BC01 Transmission Case DC,13,Water Leak,90,water leak on C2,Die Related,05:35 AM,07:05 AM
3-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Flash Out,10,flashed on die,Die Related,12:20 PM,12:30 PM
3-Mar-22,AAC Plant 2,1,2250-3,G300 TA HOUSING FWD DC,1,Water Leak,145,sprue bushing,Die Related,07:20 AM,09:45 AM
3-Mar-22,AAC Plant 2,1,2250-3,G300 TA HOUSING FWD DC,1,L/S Issue,30,LS on C1 not readingd ms,Die Related,12:15 PM,12:45 PM
3-Mar-22,AAC Plant 2,1,2250-3,G300 TA HOUSING FWD DC,1,Water Leak,95,leak behind ms,Die Related,02:55 PM,04:30 PM
3-Mar-22,AAC Plant 2,1,2250-4,946F Crankcase DC,12,Vacuum (Die),90,flash through vac block,Die Related,02:40 PM,04:10 PM
3-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,1,Water Leak,210,water leak on C2-cracked core,Die Related,01:00 PM,04:30 PM
3-Mar-22,AAC Plant 2,1,2250-7,A467 Adaptor DC,3,Water Flow (Die),15,cooling waer flow flt,Die Related,06:20 AM,06:35 AM
3-Mar-22,AAC Plant 2,1,2250-7,A467 Adaptor DC,3,Die Polish,25,lamination on C3,Die Related,08:25 AM,08:50 AM
3-Mar-22,AAC Plant 2,1,2250-7,A467 Adaptor DC,3,Stuck part(Die),30,stuck part on ss,Die Related,09:10 AM,09:40 AM
3-Mar-22,AAC Plant 2,1,2250-7,A467 Adaptor DC,3,Flash Out,10,flashout,Die Related,04:20 PM,04:30 PM
3-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,Stuck part(Die),28,stuck part; die open time over,Die Related,04:02 PM,04:30 PM
3-Mar-22,AAC Plant 2,1,,744K CENTER SUPPORT DC,3,Stuck part(Die),28,die open pto,Die Related,04:02 PM,04:30 PM
3-Mar-22,AAC Plant 2,1,,744K CENTER SUPPORT DC,3,Stuck part(Die),-28,stuck part; die open time over,Die Related,04:02 PM,04:30 PM
3-Mar-22,AAC Plant 2,2,2250-12,BC01 Transmission Case DC,12,Flash Out,240,flash out around C1,Die Related,10:25 PM,12:55 AM
3-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,7,Water Flow (Die),15,water flow fault; m/s powercool pin break detect,Die Related,09:05 PM,09:20 PM
3-Mar-22,AAC Plant 2,2,2250-2,744 TA HOUSING FWD DC,2,Die Polish,20,qc request epolish,Die Related,03:00 AM,03:20 AM
3-Mar-22,AAC Plant 2,2,2250-3,G300 TA HOUSING FWD DC,2,Die Chip/Crack,40,die chip on ss,Die Related,12:30 PM,01:10 PM
3-Mar-22,AAC Plant 2,2,2250-3,G300 TA HOUSING FWD DC,2,Die Polish,20,heavy galling,Die Related,11:30 AM,11:50 AM
3-Mar-22,AAC Plant 2,2,2250-7,A467 Adaptor DC,3,Die Polish,35,qs req polish,Die Related,02:00 AM,02:35 AM
3-Mar-22,AAC Plant 2,2,800-1,744K CENTER SUPPORT DC,3,Flash Out,9,flashed out between A&B/ check sleeve pipe/ powder,Die Related,03:19 AM,03:28 AM
3-Mar-22,AAC Plant 2,2,800-1,744K CENTER SUPPORT DC,3,Flash Out,8,flashed out between A&B,Die Related,12:21 AM,12:29 AM
4-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Die Polish,30,CARY OVER POLISH FROM 4S,Die Related,11:15 AM,11:45 AM
4-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Water Leak,125,pin leaking on ms-die chg,Die Related,06:35 AM,08:30 AM
4-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,L/S Issue,20,C2 ls flt stuck part,Die Related,06:15 AM,06:35 AM
4-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,5,Flash Out,15,small bisc-flashout,Die Related,11:05 AM,11:20 AM
4-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Cavity Damage,100,broke insert on ms,Die Related,10:00 AM,11:40 AM
4-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Flash Out,15,C1 flashed out,Die Related,07:50 AM,08:05 AM
4-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,9,L/S Issue,40,hydr hose hitting ls,Die Related,12:50 PM,01:30 PM
4-Mar-22,AAC Plant 2,1,2250-2,744 TA HOUSING FWD DC,2,Water Leak,45,die chg,Die Related,11:30 AM,12:15 PM
4-Mar-22,AAC Plant 2,1,2250-2,744 TA HOUSING AWD DC,2,Cavity Damage,140,high ejector pins-die chg,Die Related,12:45 PM,03:05 PM
4-Mar-22,AAC Plant 2,1,2250-3,G300 TA HOUSING FWD DC,1,Stuck part(Die),20,vac runner sticking s/s,Die Related,05:15 AM,05:35 AM
4-Mar-22,AAC Plant 2,1,2250-3,G300 TA HOUSING FWD DC,1,Water Leak,70,die change; water leak m/s,Die Related,11:45 AM,12:55 PM
4-Mar-22,AAC Plant 2,1,2250-3,G300 TRANSMISSION CASE DC,1,Stuck part(Die),20,vac runner sticking to ss,Die Related,05:15 AM,05:35 AM
4-Mar-22,AAC Plant 2,1,2250-3,G300 TRANSMISSION CASE DC,1,Water Leak,70, die chg,Die Related,11:45 AM,12:55 PM
4-Mar-22,AAC Plant 2,1,2250-3,G300 TRANSMISSION CASE DC,1,Water Leak,-70,die change; water leak m/s,Die Related,11:45 AM,12:55 PM
4-Mar-22,AAC Plant 2,1,2250-3,G300 TRANSMISSION CASE DC,1,Stuck part(Die),-20,vac runner sticking s/s,Die Related,05:15 AM,05:35 AM
4-Mar-22,AAC Plant 2,1,2250-4,946F Crankcase DC,11,Stuck part(Die),15,vac runners hanging in ms,Die Related,09:25 AM,09:40 AM
4-Mar-22,AAC Plant 2,1,2250-5,G298 TA HOUSING AWD DC,3,Die Polish,15,qe req,Die Related,03:05 PM,03:20 PM
4-Mar-22,AAC Plant 2,1,2250-7,A467 Adaptor DC,3,Die Polish,35,epolish,Die Related,07:50 AM,08:25 AM
4-Mar-22,AAC Plant 2,1,2250-7,A467 Adaptor DC,3,Die Polish,20,ng epolish,Die Related,08:45 AM,09:05 AM
4-Mar-22,AAC Plant 2,1,2250-8,19MY PTO TRANSMISSION CASE DC,3,Die Polish,55,cracks on c3,Die Related,07:00 AM,07:55 AM
4-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Die Polish,13,A cav balance issues,Die Related,11:40 AM,11:53 AM
4-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,Stuck part(Die),24,die time ovr,Die Related,11:27 AM,11:51 AM
4-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,Stuck part(Die),17,die time ovr,Die Related,11:52 AM,12:09 PM
4-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,Stuck part(Die),24,die time ovr,Die Related,11:03 AM,11:27 AM
4-Mar-22,AAC Plant 2,2,1650-1,"103E Oil Pan, No. 1  DC",3,Die Polish,40,ng polish; qc request; call dm,Die Related,10:20 PM,11:00 PM
4-Mar-22,AAC Plant 2,2,2250-1,946F Crankcase DC,1,Die Polish,25,epolish/ polish on c-3 call dm,Die Related,07:35 PM,08:00 PM
4-Mar-22,AAC Plant 2,2,2250-1,946F Crankcase DC,1,Die Polish,55,polish; request by qc,Die Related,01:30 AM,02:25 AM
4-Mar-22,AAC Plant 2,2,2250-11,BC01 Transmission Case DC,13,Cavity Damage,310,scheduled pm. broke insert on m/s,Die Related,09:20 PM,02:30 AM
4-Mar-22,AAC Plant 2,2,2250-12,BC01 Transmission Case DC,9,Squeeze Pin (Die),80,broke pin on c-4,Die Related,11:00 PM,12:20 AM
4-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,7,Water Flow (Die),10,water flow fault; m/s power cool pin break detect; condition check okay,Die Related,05:15 PM,05:25 PM
4-Mar-22,AAC Plant 2,2,2250-5,G298 TA HOUSING AWD DC,3,Die Chip/Crack,35,carryover on 4s+d; die chip on s/s called dm,Die Related,09:40 PM,10:15 PM
4-Mar-22,AAC Plant 2,2,2250-7,A467 Adaptor DC,3,Other (Die),60,thick flash on c-3/ call dm,Die Related,06:45 PM,07:45 PM
4-Mar-22,AAC Plant 2,2,2250-8,19MY PTO TRANSMISSION CASE DC,3,Die Polish,35,epolish; qc request,Die Related,07:00 PM,07:35 PM
4-Mar-22,AAC Plant 2,2,800-1,744K CENTER SUPPORT DC,3,Stuck part(Die),10,stuck part; die open time over,Die Related,05:15 PM,05:25 PM
4-Mar-22,AAC Plant 2,2,800-1,744K CENTER SUPPORT DC,3,Stuck part(Die),15,stuck part; l/s double reading,Die Related,05:40 PM,05:55 PM
5-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,5,Flash Out,45,flashout between a&b; called dm,Die Related,03:05 PM,03:50 PM
5-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,8,Stuck part(Die),15,stuck part,Die Related,05:57 AM,06:12 AM
5-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,9,L/S Issue,210,c-4 l/s ng read; called dm,Die Related,05:30 PM,09:00 PM
5-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,9,Die Polish,10,polish on c-2; undercut on flow window,Die Related,12:40 AM,12:50 AM
6-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,1,Water Leak,5,water leak on c-4; called dm,Die Related,05:50 PM,05:55 PM
6-Mar-22,AAC Plant 2,2,800-3,G300 CENTER SUPPORT DC,8,Stuck part(Die),20,stuck part; die didn't open after shot; called dm,Die Related,02:20 AM,02:40 AM
6-Mar-22,AAC Plant 2,2,800-3,G300 CENTER SUPPORT DC,8,Stuck part(Die),15,stuck part; die wouldn't open after shot; called dm,Die Related,03:45 AM,04:00 AM
7-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Stuck part(Die),45,Runner sticking s/s,Die Related,07:45 AM,08:30 AM
7-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Stuck part(Die),20,Die close time over; Stuck vac runner; S/s,Die Related,06:10 AM,06:30 AM
7-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,3,Flash Out,15,ULR fault; Small biscuit flash out,Die Related,03:25 AM,03:40 AM
7-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,3,Die Polish,20,E polish; Galling s/s,Die Related,08:40 AM,09:00 AM
7-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,3,Die Polish,40,Thick flash; Differential hole,Die Related,01:40 PM,02:20 PM
7-Mar-22,AAC Plant 2,1,2250-11,BC01 Transmission Case DC,13,Cavity Damage,80,Broke pin leak detect; Broke pin on c2,Die Related,05:25 AM,06:45 AM
7-Mar-22,AAC Plant 2,1,2250-4,946F Crankcase DC,11,Die Polish,15,Epolish; QC requested,Die Related,07:30 AM,07:45 AM
7-Mar-22,AAC Plant 2,1,2250-5,G298 TA HOUSING AWD DC,3,Die Chip/Crack,40,Die chip on s/s,Die Related,12:40 PM,01:20 PM
7-Mar-22,AAC Plant 2,1,2250-8,19MY PTO TRANSMISSION CASE DC,3,Vacuum (Die),110,Flashed thru vac,Casting Process/Equipment,06:10 AM,08:00 AM
7-Mar-22,AAC Plant 2,1,2250-9,881 Oil Pan DC,10,Cavity Damage,65,Broke pin on c1,Die Related,08:15 AM,09:20 AM
7-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,Flash Out,15,Flashed out thru spruce bushing,Die Related,12:55 PM,01:10 PM
7-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,Die Polish,19,E polish; Flow window pulling,Die Related,08:58 AM,09:17 AM
7-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,1,L/S Issue,50,EJ return; Light bouncing in and out; EJ cable has a short,Die Related,11:40 AM,12:30 PM
7-Mar-22,AAC Plant 2,2,1650-1,881 Oil Pan DC,6,Die Polish,20,E polish; QC request,Die Related,03:00 AM,03:20 AM
7-Mar-22,AAC Plant 2,2,1650-1,881 Oil Pan DC,6,Water Flow (Die),60,Water flow fault; Power cool ng,Die Related,11:25 PM,12:15 AM
7-Mar-22,AAC Plant 2,2,1650-1,881 Oil Pan DC,6,Cavity Damage,85,Broke pin; c3,Die Related,10:00 PM,11:25 PM
7-Mar-22,AAC Plant 2,2,2250-1,946F Crankcase DC,1,Die Polish,15,E polish,Die Related,05:15 PM,05:30 PM
7-Mar-22,AAC Plant 2,2,2250-12,BC01 Transmission Case DC,9,Die Polish,30,E polish,Die Related,06:00 PM,06:30 PM
7-Mar-22,AAC Plant 2,2,2250-12,BC01 Transmission Case DC,9,Die Polish,40,E polish,Die Related,02:50 AM,03:30 AM
7-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,7,Die Polish,60,DM continue e polish,Die Related,01:50 AM,02:50 AM
7-Mar-22,AAC Plant 2,2,2250-2,744 TA HOUSING FWD DC,1,Die Polish,30,E polish,Die Related,12:45 AM,01:15 AM
7-Mar-22,AAC Plant 2,2,2250-3,G300 TA HOUSING FWD DC,3,Die Chip/Crack,25,CT over; Die chip on c1,Die Related,01:50 AM,02:15 AM
7-Mar-22,AAC Plant 2,2,2250-4,946F Crankcase DC,10,Squeeze Pin (Die),85,CT over; Pins too low,Die Related,09:45 PM,11:10 PM
7-Mar-22,AAC Plant 2,2,2250-4,946F Crankcase DC,10,Hydraulic Issue (Die),125,c3 issue; Core 3 returning slow,Die Related,11:10 PM,01:15 AM
7-Mar-22,AAC Plant 2,2,2250-4,946F Crankcase DC,11,Squeeze Pin (Die),80,CT over; Broke pin on c1 m/s,Die Related,07:40 PM,09:00 PM
7-Mar-22,AAC Plant 2,2,2250-5,G298 TA HOUSING AWD DC,3,Die Polish,15,E polish,Die Related,05:15 PM,05:30 PM
7-Mar-22,AAC Plant 2,2,2250-6,587F Crank Case Stiffening DC,29,Die Polish,30,E polish; Heavy galling,Die Related,05:15 PM,05:45 PM
7-Mar-22,AAC Plant 2,2,800-1,744K CENTER SUPPORT DC,5,Water Leak,98,Water leak; NG fittings; Replace l/s,Die Related,05:15 PM,06:53 PM
7-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,10,Die Polish,30,E polish,Die Related,07:00 PM,07:30 PM
7-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,10,Water Leak,5,Water leak; M/s pc line broke,Die Related,05:30 PM,05:35 PM
8-Mar-22,AAC Plant 2,1,1650-1,881 Oil Pan DC,6,Vacuum (Die),10,vac fault,Die Related,05:20 AM,05:30 AM
8-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Die Polish,25,qc request polish,Die Related,07:50 AM,08:15 AM
8-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,6,Die Chip/Crack,30,die chip repair on s/s; called dm,Die Related,12:40 PM,01:10 PM
8-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,9,Flash Out,10,small biscuit; flashed out,Die Related,08:55 AM,09:05 AM
8-Mar-22,AAC Plant 2,1,2250-2,744 TA HOUSING FWD DC,1,Die Polish,15,carryover polish from 4s+d,Die Related,11:30 AM,11:45 AM
8-Mar-22,AAC Plant 2,1,2250-2,744 TA HOUSING FWD DC,1,Die Polish,20,qe request polish s/s,Die Related,09:15 AM,09:35 AM
8-Mar-22,AAC Plant 2,1,2250-3,G300 TA HOUSING FWD DC,3,Die Polish,15,epolish,Die Related,03:10 PM,03:25 PM
8-Mar-22,AAC Plant 2,1,2250-3,G300 TA HOUSING FWD DC,3,Die Chip/Crack,60,shut down/ die chip/ called dm,Die Related,02:10 PM,03:10 PM
8-Mar-22,AAC Plant 2,1,2250-5,G298 TA HOUSING AWD DC,3,Water Leak,20,die change carry over from 4s+d; leaking pin on s/s,Die Related,11:40 AM,12:00 PM
8-Mar-22,AAC Plant 2,1,2250-6,587F Crank Case Stiffening DC,29,Vacuum (Die),60,vac fault; vac runner stuck on s/s,Die Related,07:30 AM,08:30 AM
8-Mar-22,AAC Plant 2,1,2250-7,A467 Adaptor DC,3,Die Polish,20,epolish,Die Related,02:10 PM,02:30 PM
8-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,5,Flash Out,17,small bisc-flashed out,Die Related,02:03 PM,02:20 PM
8-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,5,Die Chip/Crack,35,die chip in flow window,Die Related,08:30 AM,09:05 AM
8-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,Stuck part(Die),47,C5 not reading insert,Die Related,03:43 PM,04:30 AM
8-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,Water Leak,23,water leak on ss,Die Related,03:20 PM,03:43 PM
8-Mar-22,AAC Plant 2,2,1650-1,881 Oil Pan DC,6,Die Chip/Crack,70,die chip on m/s,Die Related,10:55 PM,12:05 AM
