Date,Plant,Shift,Machine Number,Part Description,Die Number,Machine Related Downtime Reason,Machine Related Downtime Minutes,Machine Related Downtime Notes,MRD DT Description,MRD Start Time,MRD Stop Time
1-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Press/BSM Mech,45,scrap chute backed up at peener,Casting Process/Equipment,06:40 AM,07:25 AM
1-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Press/BSM Mech,10,gate press backed up; ULR stopped at T/P,Casting Process/Equipment,10:00 AM,10:10 AM
1-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,3,Press/BSM Elec,40,stuck part; core 1 out timeover,Casting Process/Equipment,03:50 PM,04:30 PM
1-Mar-22,AAC Plant 2,1,2250-11,BC01 Transmission Case DC,8,Laser Etch-MRD,10,ng laser etch; cleaned laser machine,Casting Process/Equipment,01:10 PM,01:20 PM
1-Mar-22,AAC Plant 2,1,2250-11,BC01 Transmission Case DC,8,Ladle-MRD,10,build up on sleeve; ladle mispoured,Casting Process/Equipment,08:20 AM,08:30 AM
1-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Laser Etch-MRD,10,laser fault; part stuck in laser,Casting Process/Equipment,02:45 PM,02:55 PM
1-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Unload Robot Mech,10,part broke off biscuit; ulr fault,Casting Process/Equipment,08:10 AM,08:20 AM
1-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Unload Robot Mech,35,ulr fault; scrap chute jammed,Casting Process/Equipment,02:45 PM,03:20 PM
1-Mar-22,AAC Plant 2,1,2250-3,744 TA HOUSING FWD DC,1,DC Mach Mech,50,ulr fault; ejector fwd timeover; found rod broke to make l/s read,Casting Process/Equipment,09:30 AM,10:20 AM
1-Mar-22,AAC Plant 2,1,2250-4,946F Crankcase DC,12,Press/BSM Mech,10,t/p fault; misload,Casting Process/Equipment,02:50 PM,03:00 PM
1-Mar-22,AAC Plant 2,1,2250-4,946F Crankcase DC,12,Vacuum (Mach),70,vac fault; vac pressure; call maint,Casting Process/Equipment,07:00 AM,08:10 AM
1-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,2,Unload Robot Mech,10,ulr fault; bent biscuit,Casting Process/Equipment,08:30 AM,08:40 AM
1-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,2,Unload Robot Mech,10,bent biscuit,Casting Process/Equipment,01:10 PM,01:20 PM
1-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,2,Unload Robot Mech,10,ulr fault; misload at bsm,Casting Process/Equipment,07:30 AM,07:40 AM
1-Mar-22,AAC Plant 2,1,2250-7,881 Oil Pan DC,6,Unload Robot Mech,10,ulr fault; ng photo eye; cleaned photo eye,Casting Process/Equipment,03:00 PM,03:10 PM
1-Mar-22,AAC Plant 2,1,2250-8,19MY NONPTO TRANSMISSION CASE DC,1,Spray Robot Mech,10,spray cycle,Casting Process/Equipment,05:15 AM,05:25 AM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Spray Robot Mech,60,spray upper limit,Casting Process/Equipment,11:00 AM,12:00 PM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,DC Mach Mech,60,die open process timeover; machine locked up; called maint,Casting Process/Equipment,03:30 PM,04:30 PM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Spray Robot Mech,10,spray upper limit; scw; me and pe looking at lubricant pumping device,Casting Process/Equipment,10:35 AM,10:45 AM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Spray Robot Mech,48,spray upper limit; scw; called maint,Casting Process/Equipment,09:30 AM,10:18 AM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Spray Robot Mech,10,spray upper limit,Casting Process/Equipment,09:00 AM,09:10 AM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Spray Robot Mech,10,spray upper limit,Casting Process/Equipment,08:40 AM,08:50 AM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Spray Robot Mech,20,spray over limit; lubricated pump pressurizing mid cycle,Casting Process/Equipment,08:10 AM,08:30 AM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,DC Mach Mech,20,t/p not moving ; called maint,Casting Process/Equipment,06:09 AM,06:29 AM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Spray Robot Mech,10,extractor fault; spray low limit,Casting Process/Equipment,05:45 AM,05:55 AM
1-Mar-22,AAC Plant 2,1,500-3,G903 Stator Wheel DC,4,DC Mach Mech,10,shot rod tip broke,Casting Process/Equipment,04:20 PM,04:30 PM
1-Mar-22,AAC Plant 2,1,500-3,G903 Stator Wheel DC,4,Unload Robot Mech,15,photo eye dirty,Casting Process/Equipment,03:15 PM,03:30 PM
1-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,Press/BSM Mech,11,trim press fault; gate from previous part left on t/p,Casting Process/Equipment,05:34 AM,05:45 AM
1-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,11,Oil Leak,9,low hyd. fluid,Casting Process/Equipment,03:21 PM,03:30 PM
1-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,11,DC Mach Mech,10,biscuit jammed; removed stuck biscuit,Casting Process/Equipment,06:45 AM,06:55 AM
1-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,5,DC Mach Mech,7,scrap conveyor cbl tripped; cone jammed in conveyor,Casting Process/Equipment,10:49 AM,10:56 AM
1-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,5,DC Mach Mech,22,f10 laser marker fault; overheated; a/c froze over,Casting Process/Equipment,02:46 PM,03:00 PM
1-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,5,DC Mach Mech,14,f10 laser marker fault,Casting Process/Equipment,01:56 PM,02:10 AM
1-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,5,DC Mach Mech,16,scrap conveyor cbl tripped; called maint,Casting Process/Equipment,11:44 AM,12:00 PM
1-Mar-22,AAC Plant 2,2,1650-1,"103E Oil Pan, No. 1  DC",3,DC Mach Mech,80,die clamp fault; m/s clamp quit reading,Casting Process/Equipment,09:05 PM,10:25 PM
1-Mar-22,AAC Plant 2,2,2250-1,946F Crankcase DC,1,Other (Mach),25,hyd. low; low limit; refilled,Casting Process/Equipment,03:00 AM,03:25 AM
1-Mar-22,AAC Plant 2,2,2250-11,BC01 Transmission Case DC,8,Unload Robot Mech,20,ulr fault; misload at servo,Casting Process/Equipment,02:30 AM,02:50 AM
1-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,7,Unload Robot Mech,15,cooling conveyor,Casting Process/Equipment,05:30 PM,05:55 PM
1-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,7,Ladle-MRD,15,small biscuit; build up on shot end,Casting Process/Equipment,03:20 AM,03:35 AM
1-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,7,Unload Robot Mech,20,out cv slide command; called maint,Casting Process/Equipment,04:10 AM,04:30 AM
1-Mar-22,AAC Plant 2,2,2250-2,744 TA HOUSING FWD DC,1,Unload Robot Mech,10,ulr fault; part fell in belly pan,Casting Process/Equipment,10:15 PM,10:25 PM
1-Mar-22,AAC Plant 2,2,2250-3,G298 TA HOUSING AWD DC,2,Unload Robot Mech,10,ulr fault; biscuit broke,Casting Process/Equipment,07:25 PM,07:35 PM
1-Mar-22,AAC Plant 2,2,2250-6,984F Crankcase DC,2,Unload Robot Mech,15,ulr fault; bsm conveyor stuck metal,Casting Process/Equipment,09:30 PM,09:45 PM
1-Mar-22,AAC Plant 2,2,2250-7,881 Oil Pan DC,6,Unload Robot Mech,15,ulr fault; biscuit hung up at bsm,Casting Process/Equipment,07:20 PM,07:35 PM
1-Mar-22,AAC Plant 2,2,2250-7,881 Oil Pan DC,6,Vacuum (Mach),15,vac fault; sensor break,Casting Process/Equipment,05:15 PM,05:30 PM
1-Mar-22,AAC Plant 2,2,2250-7,881 Oil Pan DC,6,Unload Robot Mech,15,ulr fault; biscuit hung up at bsm,Casting Process/Equipment,02:35 AM,02:50 AM
1-Mar-22,AAC Plant 2,2,2250-8,19MY NONPTO TRANSMISSION CASE DC,1,Unload Robot Mech,10,ulr fault; biscuit broke,Casting Process/Equipment,01:35 AM,01:45 AM
1-Mar-22,AAC Plant 2,2,2250-8,19MY NONPTO TRANSMISSION CASE DC,1,DC Mach Hyd,50,die clamp fault setting; busted hyd line on die clamp s/s,Casting Process/Equipment,02:40 AM,03:30 AM
1-Mar-22,AAC Plant 2,2,800-1,744K CENTER SUPPORT DC,6,DC Mach Mech,12,powder lube fault; sleeve powder feeder forward,Casting Process/Equipment,08:36 PM,08:48 PM
2-Mar-22,AAC Plant 2,1,1650-1,"103E Oil Pan, No. 1  DC",3,DC Mach Mech,10,Grease lub 2 fault,Casting Process/Equipment,07:30 AM,07:40 AM
2-Mar-22,AAC Plant 2,1,1650-1,"103E Oil Pan, No. 1  DC",3,DC Mach Mech,10,Grease lub 2 fault,Casting Process/Equipment,09:30 AM,09:40 AM
2-Mar-22,AAC Plant 2,1,1650-1,"103E Oil Pan, No. 1  DC",3,DC Mach Mech,10,Grease lub 2 fault,Casting Process/Equipment,03:05 PM,03:15 PM
2-Mar-22,AAC Plant 2,1,1650-1,"103E Oil Pan, No. 1  DC",3,DC Mach Mech,10,Grease lub 2 fault,Casting Process/Equipment,01:15 PM,01:25 PM
2-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Vacuum (Mach),40,Vac torr out of spec,Casting Process/Equipment,05:50 AM,06:30 AM
2-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Unload Robot Mech,15,ULR fault; Biscuit broke,Casting Process/Equipment,12:25 PM,12:40 PM
2-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Vacuum (Mach),10,Vac fault; Sensor break,Casting Process/Equipment,08:45 AM,08:55 AM
2-Mar-22,AAC Plant 2,1,2250-11,BC01 Transmission Case DC,8,Unload Robot Mech,10,Dropped part in cage,Casting Process/Equipment,08:35 AM,08:45 AM
2-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Unload Robot Mech,10,Ulr fault; Small biscuit,Casting Process/Equipment,02:35 PM,02:45 PM
2-Mar-22,AAC Plant 2,1,2250-2,744 TA HOUSING FWD DC,1,Unload Robot Mech,20,Miss load t/p,Casting Process/Equipment,07:00 AM,07:20 AM
2-Mar-22,AAC Plant 2,1,2250-2,744 TA HOUSING FWD DC,1,Trim Press,10,No help from ME; Miss loading t/p,Casting Process/Equipment,07:35 AM,07:45 AM
2-Mar-22,AAC Plant 2,1,2250-3,G298 TA HOUSING AWD DC,2,DC Mach Elec,35,Stuck part;  c1 rtn time over,Casting Process/Equipment,06:50 AM,07:25 AM
2-Mar-22,AAC Plant 2,1,2250-5,G298 TA HOUSING AWD DC,1,Ladle-MRD,10,Ladle; Mis pour; small biscuit,Casting Process/Equipment,06:55 AM,07:05 AM
2-Mar-22,AAC Plant 2,1,2250-5,G298 TA HOUSING AWD DC,1,DC Mach Mech,20,Die clamp force; Tonnage too high,Casting Process/Equipment,07:05 AM,07:25 AM
2-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,2,Unload Robot Mech,30,Air fitting on ULR leaking air,Casting Process/Equipment,10:25 AM,10:55 AM
2-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,2,Unload Robot Mech,20,ULR fault,Casting Process/Equipment,09:20 AM,09:40 AM
2-Mar-22,AAC Plant 2,1,2250-8,19MY NONPTO TRANSMISSION CASE DC,1,Pascal System,60,breaker to water lines on plat,Casting Process/Equipment,11:30 AM,12:30 PM
2-Mar-22,AAC Plant 2,1,2250-9,881 Oil Pan DC,10,Spray Robot Mech,80,Spray robot fault; Leak on spray robot,Casting Process/Equipment,01:50 PM,03:10 PM
2-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,DC Mach Mech,10,EXT fault; Scrap hopper,Casting Process/Equipment,05:45 AM,05:55 AM
2-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,DC Mach Mech,25,Photo eye not reading,Casting Process/Equipment,05:55 AM,06:20 AM
2-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,DC Mach Mech,5,EXT fault; Scrap hopper,Casting Process/Equipment,06:30 AM,06:35 AM
2-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,DC Mach Mech,10,Die open time over,Casting Process/Equipment,07:03 AM,07:23 AM
2-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,DC Mach Mech,165,Die open time over,Casting Process/Equipment,08:25 AM,11:10 AM
2-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,DC Mach Mech,6,Tonnage fault; Too high,Casting Process/Equipment,11:40 AM,11:46 AM
2-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,DC Mach Mech,10,EXt fault; Scrap hopper,Casting Process/Equipment,12:00 PM,12:10 PM
2-Mar-22,AAC Plant 2,1,500-3,G904 Stator Wheel DC,3,DC Mach Mech,10,tp not loading parts??,Casting Process/Equipment,05:50 AM,06:00 AM
2-Mar-22,AAC Plant 2,1,500-3,G904 Stator Wheel DC,3,DC Mach Mech,5,Scrap hopper fell; Catchers did not change hopper,Casting Process/Equipment,09:20 AM,09:25 AM
2-Mar-22,AAC Plant 2,1,500-3,G904 Stator Wheel DC,3,DC Mach Mech,7,Shot mon; Small biscuit,Casting Process/Equipment,09:30 AM,09:37 AM
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,DC Mach Mech,4,ladle mispour,Casting Process/Equipment,11:09 AM,11:13 AM
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,DC Mach Mech,4,bisc no detect,Casting Process/Equipment,05:47 AM,05:51 AM
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,DC Mach Mech,5,tonnage high,Casting Process/Equipment,12:03 PM,12:08 PM
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,DC Mach Mech,-5,,,,
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,Ladle-MRD,-4,,,,
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,DC Mach Mech,-4,,,,
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,DC Mach Mech,12,F32 trim press fault; Parts stacked on runner,Casting Process/Equipment,02:27 PM,02:39 PM
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,DC Mach Mech,6,Tonnage fault; Tonnage bottomed out,Casting Process/Equipment,11:48 AM,11:54 AM
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,DC Mach Mech,8,F32 trim press; Stacked 2 parts on trim press,Casting Process/Equipment,12:33 PM,12:41 PM
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,DC Mach Mech,14,f32 trim press; Stacked 2 parts on trim press,Casting Process/Equipment,08:19 AM,08:33 AM
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,DC Mach Mech,7,Tonnage fault; Too high,Casting Process/Equipment,11:41 AM,11:48 AM
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,DC Mach Mech,10,Biscuit not falling; Biscuit too small,Casting Process/Equipment,12:46 PM,12:56 PM
2-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,11,DC Mach Mech,32,maint replacing valve,Casting Process/Equipment,10:48 AM,11:20 AM
2-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,7,DC Mach Mech,9,quench tank draining,Casting Process/Equipment,02:36 PM,02:45 PM
2-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,8,Ladle-MRD,88,Ladle not reading home,Casting Process/Equipment,01:52 PM,03:20 PM
2-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,8,Ladle-MRD,45,"Stop, call , wait; Ethernet ip adaptor error",Casting Process/Equipment,03:30 PM,04:15 PM
2-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,8,DC Mach Mech,10,Biscuit not falling,Casting Process/Equipment,01:00 PM,01:10 PM
2-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,8,DC Mach Mech,18,Flow laser marker fault; Over heated,Casting Process/Equipment,11:11 AM,11:29 AM
2-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,8,DC Mach Mech,15,Flow laser marker fault; Over heated,Casting Process/Equipment,09:57 AM,10:12 AM
2-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,8,DC Mach Mech,5,Tonnage failure too high,Casting Process/Equipment,07:10 AM,07:15 AM
2-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,8,DC Mach Mech,3,Biscuit not falling,Casting Process/Equipment,06:40 AM,06:43 AM
2-Mar-22,AAC Plant 2,2,2250-12,BC01 Transmission Case DC,12,Ladle-MRD,20,Small biscuit; Mis poured,Casting Process/Equipment,06:20 PM,06:40 PM
2-Mar-22,AAC Plant 2,2,2250-12,BC01 Transmission Case DC,12,Ladle-MRD,10,Small biscuit; Ladle over poured,Casting Process/Equipment,11:50 PM,12:00 AM
2-Mar-22,AAC Plant 2,2,2250-12,BC01 Transmission Case DC,12,DC Mach Mech,50,Walk board fault; Broke,Casting Process/Equipment,08:40 PM,09:30 PM
2-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,7,Unload Robot Mech,10,ULR fault at transfer robot; NG work detect,Casting Process/Equipment,07:35 PM,07:45 PM
2-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,7,Unload Robot Mech,20,Transfer robot fault; Clamps not return at exit conveyor,Casting Process/Equipment,10:10 PM,10:30 PM
2-Mar-22,AAC Plant 2,2,2250-2,744 TA HOUSING FWD DC,2,DC Mach Mech,25,Die clamp not reading; Stuck part,Casting Process/Equipment,07:20 PM,07:45 PM
2-Mar-22,AAC Plant 2,2,2250-7,A467 Adaptor DC,3,Unload Robot Mech,15,ULR fault; Ring unit hung up,Casting Process/Equipment,01:10 AM,01:25 AM
2-Mar-22,AAC Plant 2,2,800-1,744K CENTER SUPPORT DC,3,DC Mach Mech,4,bisc fall no detect,Casting Process/Equipment,05:47 PM,05:51 PM
2-Mar-22,AAC Plant 2,2,800-1,744K CENTER SUPPORT DC,3,Ladle-MRD,4,clean build up on shot end,Casting Process/Equipment,11:09 PM,11:13 PM
2-Mar-22,AAC Plant 2,2,800-1,744K CENTER SUPPORT DC,3,DC Mach Mech,5,tonnage fault,Casting Process/Equipment,12:03 AM,12:08 AM
2-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,7,DC Mach Mech,10,Shot mon fault; Bisc size dropped,Casting Process/Equipment,02:07 AM,02:17 AM
2-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,7,DC Mach Mech,4,Tonnage too high,Casting Process/Equipment,08:57 PM,09:01 PM
2-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,7,DC Mach Hyd,47,HYD leak on coupling on back of dcm,Casting Process/Equipment,05:49 PM,06:36 PM
2-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,7,Laser Etch-MRD,6,Laser marking fault; Flow laser marking,Casting Process/Equipment,02:20 AM,02:26 AM
2-Mar-22,AAC Plant 2,2,800-3,G300 CENTER SUPPORT DC,8,DC Mach Mech,12,Tonnage too high,Casting Process/Equipment,10:46 PM,10:58 PM
2-Mar-22,AAC Plant 2,2,800-3,G300 CENTER SUPPORT DC,8,Press/BSM Mech,15,Gate cutter fault; M28 seating error,Casting Process/Equipment,07:34 PM,07:49 PM
2-Mar-22,AAC Plant 2,2,800-3,G300 CENTER SUPPORT DC,8,Press/BSM Mech,13,Gate cutter fault,Casting Process/Equipment,07:11 PM,07:24 PM
2-Mar-22,AAC Plant 2,2,800-3,G300 CENTER SUPPORT DC,8,DC Mach Hyd,20,Hyd pump overload,Casting Process/Equipment,08:33 PM,08:53 PM
3-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Press/BSM Mech,10,part stuck on upper,Casting Process/Equipment,11:45 AM,11:55 AM
3-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Press/BSM Mech,20,air fitting broke off on servo,Casting Process/Equipment,06:40 AM,07:00 AM
3-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Unload Robot Mech,120,tip lube ng-bisc breaking,Casting Process/Equipment,01:05 PM,03:05 PM
3-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Cooling Water (Mach),25,sleeve out of spec,Casting Process/Equipment,07:05 AM,07:30 AM
3-Mar-22,AAC Plant 2,1,2250-11,BC01 Transmission Case DC,13,Laser Etch-MRD,45,part det sensor broke,Casting Process/Equipment,07:30 AM,08:15 AM
3-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Unload Robot Mech,10,mispour,Casting Process/Equipment,03:15 PM,03:25 PM
3-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Laser Etch-MRD,10,part stuck in laser,Casting Process/Equipment,05:35 AM,05:45 AM
3-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,DC Mach Mech,10,flashed through sleeve,Casting Process/Equipment,02:10 PM,02:20 PM
3-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Ladle-MRD,15,small bisc,Casting Process/Equipment,12:30 PM,12:45 PM
3-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Furnace,10,out of metal,Casting Process/Equipment,02:45 PM,02:55 PM
3-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Ladle-MRD,-15,shot fault; small biscuit,Casting Process/Equipment,12:30 PM,12:45 PM
3-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Furnace,-10,ladle arm over run; out of metal,Casting Process/Equipment,02:45 PM,02:55 PM
3-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Ladle-MRD,15,shot fault; small biscuit,Casting Process/Equipment,12:30 PM,12:45 PM
3-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Furnace,10,"ladle arm over run, out of metal",Casting Process/Equipment,02:45 PM,02:55 PM
3-Mar-22,AAC Plant 2,1,2250-2,744 TA HOUSING FWD DC,1,Press/BSM Mech,15,bisc on tp,Casting Process/Equipment,02:20 PM,02:35 AM
3-Mar-22,AAC Plant 2,1,2250-3,G300 TA HOUSING FWD DC,1,Spray Robot Mech,10,ng spray,Casting Process/Equipment,09:55 AM,10:05 AM
3-Mar-22,AAC Plant 2,1,2250-3,G300 TA HOUSING FWD DC,1,DC Mach Mech,10,high tonnage,Casting Process/Equipment,11:10 AM,11:20 AM
3-Mar-22,AAC Plant 2,1,2250-5,G298 TA HOUSING AWD DC,3,Unload Robot Mech,10,ulr,Casting Process/Equipment,04:20 PM,04:30 PM
3-Mar-22,AAC Plant 2,1,2250-5,G298 TA HOUSING AWD DC,3,DC Mach Hyd,10,mach lube,Casting Process/Equipment,11:40 AM,11:50 AM
3-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,1,DC Mach Mech,65,ng cnvyr belt @bsm,Casting Process/Equipment,05:45 AM,06:50 AM
3-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,1,Unload Robot Mech,10,misload at bsm,Casting Process/Equipment,06:50 AM,07:00 AM
3-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,1,Unload Robot Mech,10,misload at cooling stand,Casting Process/Equipment,07:30 AM,07:40 AM
3-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,1,DC Mach Mech,10,safety door open,Casting Process/Equipment,12:50 PM,01:00 PM
3-Mar-22,AAC Plant 2,1,2250-7,A467 Adaptor DC,3,Unload Robot Mech,10,ring insert ng,Casting Process/Equipment,07:25 AM,07:35 AM
3-Mar-22,AAC Plant 2,1,2250-7,A467 Adaptor DC,3,Vacuum (Mach),5,sensor brake,Casting Process/Equipment,08:55 AM,09:00 AM
3-Mar-22,AAC Plant 2,1,2250-7,A467 Adaptor DC,3,Unload Robot Mech,15,ulr inside die,Casting Process/Equipment,11:25 AM,11:40 AM
3-Mar-22,AAC Plant 2,1,2250-7,A467 Adaptor DC,3,Other (Mach),55,p.e touch up ulr-ring insert,Casting Process/Equipment,12:15 PM,01:10 PM
3-Mar-22,AAC Plant 2,1,2250-7,A467 Adaptor DC,3,Vacuum (Mach),5,sensor broke,Casting Process/Equipment,01:15 PM,01:20 PM
3-Mar-22,AAC Plant 2,1,2250-7,A467 Adaptor DC,3,Unload Robot Mech,10,flashout,Casting Process/Equipment,01:50 PM,02:00 PM
3-Mar-22,AAC Plant 2,1,2250-8,19MY PTO TRANSMISSION CASE DC,3,Unload Robot Mech,15,ulr at bsm,Casting Process/Equipment,06:15 AM,06:30 AM
3-Mar-22,AAC Plant 2,1,2250-9,881 Oil Pan DC,10,Ladle-MRD,10,ladle chain loose,Casting Process/Equipment,02:20 AM,02:30 AM
3-Mar-22,AAC Plant 2,1,2250-9,881 Oil Pan DC,10,Unload Robot Mech,25,robot dropping parts,Casting Process/Equipment,09:50 AM,10:15 AM
3-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,DC Mach Mech,7,tonnage low,Casting Process/Equipment,02:25 PM,02:37 PM
3-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Press/BSM Mech,20,bsm conveyor jammed,Casting Process/Equipment,12:10 PM,12:30 PM
3-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,DC Mach Mech,10,ng air fitting at cylinder,Casting Process/Equipment,03:55 PM,04:05 PM
3-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,Press/BSM Mech,17,f31 t/p fault,Casting Process/Equipment,03:42 PM,04:00 PM
3-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,Unload Robot Elec,25,ulr fault; reading in dcm at startup,Casting Process/Equipment,05:15 AM,05:40 AM
3-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,7,DC Mach Mech,8,full scrap cnvyr flt,Casting Process/Equipment,06:28 AM,06:36 AM
3-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,7,DC Mach Mech,11,bisc cnvyr jammed,Casting Process/Equipment,01:35 PM,01:46 PM
3-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,8,DC Mach Mech,15,cb/dl trip,Casting Process/Equipment,03:50 PM,04:05 PM
3-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,8,Cooling Water (Mach),18,shot slv-water leak-bad fitting,Casting Process/Equipment,10:00 AM,10:18 AM
