Loc.,Item #,Manuf. ,Part #,Description,Qty.,1ST CHECK,2ND CHECK,NOTES,WORK ORDER,Cost,Total Value,Cost New,,
1R-A71C,,,B6-970203101,,1,,,,,1.00,1,,,
1R-A71D,,,B6-970303146,,1,,,,,1.00,1,,,
1R-A71E,,INTERFACE,IBX-2792C,SDDV BOARD,0,,,,,140.00,0,,,
1R-A71F,,,B6-970203246,,1,,,,,1.00,1,,,
1R-A72A,S010723,FANUC,A20B-2100-0021,POWER MATE,1,,,,,500.00,500,"$2,671.00",,
1R-A72B,,FANUC,A06B-6079-H104,AMP,1,,,,137918,"1,860.00",1860,,,
1R-A72C,S004853,GIKEN,AU3524N214,,2,,,,,285.00,570,$478.00,,
1R-A72D,,LAMBDA,EWS600,POWER SUPPLY,1,,,,,1.00,1,,,
1R-A72E,S004003,LAMBDA,JWS150-24/508,POWER SUPPLY,2,,,,,181.00,362,$257.00,,
1R-A72F,S007561,IAI,ECON-A-600L-2,CONTROLLER,0,,,,,860.00,0,"$2,670.00",,
1R-A73A,,,FP001-N3,,1,,,,,100.00,100,,,
1R-A73B,S005937,OMRON,NT31-ST122B-EV2,TOUCH PANEL,0,,,,,865.00,0,"$1,100.00",,
1R-A73C,S002718,FANUC,A03B-0819-C011,INTERFACE MODULE,1,,,,,150.00,150,$504.00,,
1R-A73D,S010791,FANUC,A20B-2902-0531, PCB-4MB DRAM ,1,,,,,"1,100.00",1100,"$1,860.00",,
1R-A73E,S016032,FANUC,A20B-3900-0061,SRAM MODULE,0,,,,,850.00,0,"$1,719.00",,
1R-A73F,?,FANUC,A20B-3300-0030/05B,,1,,,,,"1,250.00",1250,,,
1R-A74A,,OMRON,C200H-OD212,OUTPUT CARD,1,,,,123087,175.00,175,$399.50,,
1R-A74B,?,FANUC,A290-0853-T400,,1,,,,,1.00,1,$1.00,,
1R-A74C,S014464,OMRON,CJ1W-PD025,DC POWER SPPLY,0,,,,,1.00,0,,,
1R-A74D,,MITSUBISHI,MR-J2S-60A,AMPLIFIER,1,,,,,250.00,250,,,
1R-A74E,,MITSUBISHI,MR-J2S-70B,AMPLIFIER,1,,,,,235.00,235,,,
1R-A75A,S012730,AC TECH,SF450,INPUT/OUTPUT MODULE,1,,,,,1.00,1,,,
1R-A75B,,VST,UC11,CONTROLLER,1,,,,,725.00,725,,,
1R-A75C,,SHIMADEN,PAC26 SERIES  SCR1,POWER REGULATOR,1,,,,,971.00,971,,,
1R-A75D,S001297,FANUC ,A16L-0001-0093,LCD INTERFACE,0,,,,,250.00,0,$896.00,,
1R-A76A,,SANYO DENKI,RS1A10AA,SERVO DRIVE,1,,,,,"1,895.00",1895,?,,
1R-A76B,S005978,FUJI,FRN0.75G9S-2,INVERTER,4,,,,,682.00,2728,"$11,015.00",,
1R-A76C,?,TECHNIFOR ,CN212CS P/K,CONTROLLER,2,,,,,"1,000.00",2000,"$6,450.00",,
1R-A77A,,OMRON ,S82J-60024,POWER SUPPLY,1,,,,,250.00,250,$461.70,,
1R-A77B,,FANUC,A20B-8200-0360,BOARD,1,,,,,1.00,1,$1.00,,
1R-A77C,,OMRON,S8VS-24024A,POWER SUPPLY,1,,,,,175.00,175,,,
1R-A77D,?,FANUC,A04B-0099-B301,CONTROL,1,,,,,1.00,1,,,
1R-A78A,,FANUC,B8-980402124,BOARD,1,,,,,1.00,1,,,
1R-A78B,S010970,SDDV,PC-ESD500-A,FLASH DRIVE,1,,,,,1.00,1,,,
1R-A78C,?,FANUC,A20B-2902-0021,FANUC BOARD,1,,,,,500.00,500,"$1,290.00",,
1R-A78D,S015179,FANUC,A20B-8200-0670,FANUC BOARD,1,,,,,425.00,425,$903.00,,
1R-A78E,,HORNER,HE800 MIX 901B,ANALOG UNIT,1,,,,,397.00,397,,,
1R-A78F,S004622,INTERFACE,IBX6201,BOARD,2,,,,,"1,000.00",2000,"$1,117.30",,
1R-A79A,S009572,HONEYWELL,DC170211101000,CONTROLLER,1,,,,,1.00,1,,,
1R-A79B,,TAIYO,TNA1-CU20,BOX,1,,,,,300.00,300,,,
1R-A79C,S005777,HONEYWELL,UDC-3200,CONTROLLER,1,,,,,1.00,1,,,
1R-A79D,?,FANUC,A320-2202-1724/04,BOARD,1,,,,,1.00,1,,,
1R-A79E,S000893,FANUC,A16B-2201-0480/03B,CIRCUIT BOARD,2,,,,,995.00,1990,"$3,334.00",,
1R-A79E,S000893,FANUC,A1BB-2201-0480,CIRCUIT BOARD,1,,,,126034,985.00,985,"$3,334.00",,
1R-A79F,S002099,FANUC,A20B-1003-0090,CIRCUIT BOARD,1,,,,,"1,298.85",1298.85,$979.00,,
1R-A80A,S012433,FANUC,A20B-2100-0421,PANEL BOARD,2,,,,,1.00,2,"$3,762.00",,
1R-A80B,?,FANUC,A290-0854-T400,CONNECTOR BOX,3,,,,,1.00,3,,,
1R-A80C,?,FANUC,A20B-3300-0030/04B,CIRCUIT BOARD,1,,,,,"1,350.00",1350,,,
1R-A80D,,ALLEN BRADLEY,1746-P1/A SLC500,POWER SUPPLY,1,,,,,1.00,1,,,
1R-A80E,,ALLEN BRADLEY,1746-OW16/D,OUTPUT MODULE,3,,,,,1.00,3,,,
1R-A80F,S006214,FANUC,A03B-0819-C172,I/O MODULE,2,,,,,1.00,2,$277.00,,
1R-A81D,,ALLEN BRADLEY,1747-L30A,,1,,,,,1.00,1,,,
1R-A81A,,DOOSAN,DASD-CT15SPXC-05,AMPLIFIER,0,,,,,720.00,0,,,
1R-A81B,,,F4928-S111786,CONNECTOR BOARD,0,,,,,1.00,0,,,
1R-A81C,S007627,OMRON,C200H-ID501,INPUT CARD,1,,,,,1.00,1,,,
1R-A82A,S004023,FANUC,A16B-1310-0010,POWER UNIT,1,,,,,319.00,319,"$1,212.00",,
1R-A82B,S007581,OMRON,NS8-TV10-V1,INTERACTIVE DISPLAY,1,,,,,840.00,840,"$1,436.00",,
1R-A82C,S007404,KEYENCE,VT2-10SB,TOUCH SCREEN,2,,,,,"1,050.00",2100,"$4,030.00",,
1R-A82D,S003709,FANUC,A16B-3200-0330,FANUC BOARD,5,,,,,"1,735.00",8675,"$7,516.00",,
1R-A83A,,GIKEN,AU3525N1,POWER SUPPLY UNIT,2,,,,,285.00,570,,,
1R-A84A,S007561,IAI,EC0N-A-600BL-2,CONTROL BOX,2,,,,124913,875.00,1750,"$2,670.00",,
1R-A83B,,OMRON,CS1G-CPU42H,CPU,0,,,,,1.00,0,$640.00,,
1R-A83C,,HAKKO,V708CD,AMP / SCREEN,3,,,,,"1,100.00",3300,"$1,435.00",,
1R-A84B,S008699,FUJI,V808iCD,TOUCH SCREEN,1,,,,,715.00,715,"$1,435.00",,
1R-A84B,S008699,FUJI,V808iCD,TOUCH SCREEN,0,,,,124692/123364,"1,565.00",0,,,
1R-A85A,?,FANUC,A20B-2102-0050,CIRCUIT BOARD,2,,,,130433/130434,860.00,1720,,,
1R-A85B,,OMRON,S8VS-12024A/ED2,POWER SUPPLY,1,,,,,195.00,195,,,
1R-A85C,S003989,FANUC,A16B-1212-0100,CIRCUIT BOARD,1,,,,,"1,400.00",1400,"$1,729.00",,
1R-A85D,,ALLEN-BRADLEY,IEC/EN60947-4-2,SOFT STARTER,1,,,,,1.00,1,,,
1R-A85E,,,ARMB11G,CIRCUIT BOARD,1,,,,,1.00,1,,,
1R-A85F,,,N860-1613-T001,PANEL BOARD,1,,,,,1.00,1,,,
1R-A86A,?,,A320-2203-1036/02,CIRCUIT BOARD,0,,,,,1.00,0,,,
1R-A86B,S002098,FANUC,A20B-1001-0731,CIRCUIT BOARD,1,,,,,675.00,675,"$2,625.00",,
1R-A86C,S016184,MITSUBISHI,MDS-DH-V2-4040,SERVO DRIVE,1,,,,,"1,665.00",1665,"$3,700.00",,
1R-A86D,,PATLITE,GSC-1000GR4-W,TOUCH PANEL,2,,,,,790.00,1580,"$2,390.00",,
1R-A86E,,OMRON,CJ1W-0D261,OUTPUT MODULE,0,,,,127383,395.00,0,,,
1R-A86F,,OMRON,NT31-ST121-V2,TOUCH PANEL,1,,,,,595.00,595,"$1,093.91",,
1R-A87A,,OMRON,CS1W-OD211,OUTPUT CARD,1,,,,,1.00,1,$194.00,,
1R-A87B,S004004,LAMBDA,HR-9F-24,POWER SUPPLY,1,,,,,"1,350.00",1350,$200.00,,
1R-A87B,S004004,LAMBDA,HR-9F-24,POWER SUPPLY,1,,,,,,,,,
1R-A87C,?,FANUC,A03B-0819-C162,OUTPUT MODULE,2,,,,,225.00,$450.00,$503.48,,
1R-A87D,,MITSUBISHI,SD-N11,MAGNETIC CONTACTOR,1,,,,122207,145.00,$145.00,,,
1R-A87E,,GE FANUC ,IC693PWR321S,POWER SUPPLY,1,,,,,100.00,$100.00,?,,
1R-A87F,S011805,FANUC,A05B-2400-C120,E-STOP UNIT,3,,,,,225.00,$675.00,$443.00,,
1R-A88A,,FANUC,A86L-0001-0279,KEYPAD,1,,,,,820.00,$820.00,,,
1R-A88B,,PROMESS,A8F0014865,MINI PRO,2,,,,,1.00,$2.00,,,
1R-A88C,,OMRON,NT631C-ST141B-EV2,SCREEN,1,,,,,680.00,$680.00,,,
1R-A89A,?,FANUC,A16L-0001-0093,POWER BOX,1,,,,,1.00,1,,,
1R-A89A,,,A16L-0001-0093,,1,,,,,1.00,$1.00,,,
1R-A89B,S09750,PATLITE,GM-1000R4-W,DISPLAY CONTROLLER,0,,,,,"1,298.00",$0.00,"$2,390.00",,
1R-A89C,S002092,FANUC,A16B-2202-0860,CIRCUIT BOARD,4,,,,,810.00,"$3,240.00","$2,569.00",,
1R-A90A,,FANUC,A05B-2601-C410,E-STOP UNIT,1,,,,136183,"1,175.00","$1,175.00 ",,,
1R-A90B,S009750,PATLITE,GM-1220TCR,SIGNAL DISPLAY,1,,,,127368,545.00,$545.00,"$5,666.00",,
1R-A90C,,FANUC,A16B-2202-0721,PC BOARD,1,,,,,"1,480.00","$1,480.00",,,
1R-C02E,,TOYOKI,HPP-VC2V-F114AD-EE-A,VALVE,2,,,,,1.00,$2.00,,,
1R-C02F,S010887,VICKERS,PVQ10A2RSE1920C21012,VALVE,1,,,,,1.00,$1.00,,,
1R-C02G,S010506,VICKERS,PVM018ER01AE01AAA28000000A0A,PUMP,1,,,,,"1,329.00","$1,329.00",,,
1R-C02H,,VICKERS,PFV125T2C12R1BFV1,PUMP,1,,,,,1.00,$1.00,,,
1R-C03A,S012592,TOKYO,F11-SQP3-30-86B-LH-18,VALVE,2,,,,,1.00,$2.00,,,
1R-C03B,S010811,TOKYO,F11-SQP3-32-86B-18L,VALVE,1,,,,,1.00,$1.00,,,
1R-C03C,S012734,TOKYO,F11-SQP3-35-86D-18LH,VALVE,1,,,,,1.00,$1.00,,,
1R-C03D,,VICKERS,5525V30A171BB,VALVE,0,,,,,1.00,$0.00,,,
1R-C03E,,VICKERS,3520V38A-1BB20,VALVE,1,,,,,1.00,$1.00,,,
1R-C03F,,VICKERS,3P3D-16GCC,VALVE,3,,,,,1.00,$3.00,,,
1R-CO6A,,FANUC,J4-J5 WRIST,WRIST,1,,,,,1.00,$1.00,,,
1R-D02A,,GRUNDFOS,CHI240-BQQV,VALVE,1,,,,,1.00,$1.00,,,
1R-D02B,?,EBARA,93834462,PUMP,1,,,,,1.00,$1.00,,,
1R-D02C,,SMC,YCN5644-P1,PUMP,1,,,,,1,$1.00,,,
1R-D02D,,DYNA QUIP,MA20A1AB100,COLLANT PUMP,1,,,,,1.00,$1.00,,,
1R-D02F,S004217,TERAL KYOKUTO,VKP095AF,COLLANT PUMP,1,,,,,1.00,$1.00,,,
1R-D02G,S001219,TERAL KYOKUTO,VKP095A,COLLANT PUMP,1,,,,,1.00,$1.00,,,
1R-D02H,?,,22751,COOLANT PUMP,0,,,,,1.00,$0.00,,,
1R-D02I,S001220,MITSUBISHI,NQD-751,COOLANT PUMP,2,,,,,1.00,$2.00,,,
1R-D03A,S012147,BRINKMANN,TE142S470+001,COOLANT PUMP ,1,,,,,1.00,$1.00,,,
1R-D03B,S004240,TERAL KYOKUTO,LPW404C-3.0,HKD3 COOLANT PUMP,0,,,,,1.00,$0.00,,,
1R-D03C,,TOSHIBA,(LEBONAN POWER 11961),MOTOR,1,,,,,1.00,$1.00,,,
1R-D03D,?,,DFT100L4BM64MR,MOTOR,1,,,,,1.00,$1.00,,,
1R-D03E,?,SERFIL CO,G62091,COOLANT PUMP,1,,,,,1.00,$1.00,,,
1R-D03F,S009951,GUSHER,11019-AVD-SE-A-3.5,COOLANT PUMP,1,,,,,1.00,$1.00,,,
1R-D03G,,NTB,LF80/2C-11,,1,,,,,1.00,$1.00,,,
1R-D04A,,LEESON,N284T11FK23,MOTOR,1,,,,,1.00,$1.00,,,
1R-D04B,,BALDOR,M106151X978G1,MOTOR,1,,,,,1.00,$1.00,,,
1R-D04C,,HITACHI ,TF0-4HD,MOTOR,4,,,,,1.00,$4.00,,,
1R-D05A,?,FANUC,A290-0854-X501,FAN HOUSING,2,,,,,1.00,$2.00,,,
1R-D05B,,FANUC,A90L-0001-0442/R1,ASSEMBLY,2,,,,,1.00,$2.00,,,
1R-D05C,S007754,FANUC,A06B-0267-B605,MOTOR,0,,,,,"1,788.00",$0.00,,,
1R-D05D,S008495,FANUC,A06B-0034-B075,MOTOR,0,,,,,"1,281.00",$0.00,"$2,031.00",,
1R-D05E,,MITSUBISHI,FR-A540-1.5K-NA,INVERTER,1,,,,,1.00,$1.00,"$1,025.00",,
1R-D05F,,FANUC,P50B08100DXSSD,MOTOR,1,,,,,1.00,$1.00,,,
1R-D06A,,NORD,200982486-100  SK71L\4,MOTOR,1,,,,,1.00,$1.00,,,
1R-D06B,S005977,FUJI,FRNO.4G95-2,INVERTER,1,,,,,1.00,$1.00,,,
1R-D06C,,HITACHI,B266709 YIFO 1.5 KW,MOTOR,1,,,,,1.00,$1.00,,,
1R-D06D,,BALDOR,VM3554T,MOTOR,1,,,,,1.00,$1.00,,,
1R-A95C,S012335,NEC,NFT-101RM1-S,NUT RUNNER,1,,,,,1.00,$1.00,"$4,388.00",,
1R-A96A,S003708,FANUC,A16B-3200-0040,CIRCUIT BOARD,0,,,,,1.00,$0.00,"$2,612.00",,
1R-A95C,S012335,NEC,NFT-101RM1-S,NUT RUNNER,1,,,,,1.00,$1.00,,,
1R-A95D,S002677,FANUC,A03B-0819-C105,MODULE,1,,,,,270.00,$270.00,$463.00,,
1R-A91D,S014464,OMRON,CJ1W-PA202,PWR SUPPLY UNIT,2,,,,,175.00,$350.00,,,
1R-A91A,S004022,FANUC,A16B-1212-0110,CIRCUIT BOARD,1,,,,,"1,275.00","$1,275.00","$1,052.00",,
1R-A92A,S004003,LAMBDA,HR-12F-24,POWER SUPPLY,0,,,,,250.00,$0.00,$258.00,,
1R-A91B,?,FANUC,A16B-1212-0930,CIRCUIT BOARD,2,,,,,921.00,"$1,842.00","$2,663.00",,
1R-A91C,,STANDARS CO,SRB-MS-1LK5,INTERLOCK MODULE,1,,,,,1.00,$1.00,,,
1R-A91D,,OMRON,CJ1W-PA202,,2,,,,,,,,,
1R-A92B,S008641,SHINKO,SA-DM-475AIW,METER,4,,,,12208/122209/124017,530.00,"$2,120.00","$2,731.50",,
1R-A92B,S008641,SHINKO,SA-DM-475AIW,METER,2,,,,120988,645.00,$645.00,"$2,731.50",,
1R-A92C,?,FANUC ,A20B-2902-0060,CIRCUIT BOARD,2,,,,,500.00,"$1,000.00","$2,591.00",,
1R-A92D,S003619,FANUC ,A03B-0819-C155,OUTPUT MODULE,1,,,,,150.00,$150.00,$219.00,,
1R-A92E,S017599,PRO-FACE,LT3300-T1-D24-C,TOUCH SCREEN,0,,,,,620.00,$0.00,"$1,330.00",,
1R-A92F,S003619,FANUC,A03B-0807-C155,CARD,1,,,,,100.00,$100.00,$219.00,,
1R-A93A,S012016,OMRON ,NS8-TV00-B-V2,TOUCH PANEL ,0,,,,,840.00,$0.00,"$2,390.00",,
1R-A93B,S010818,FANUC,A20B-2001-0902,PC BOARD,1,,,,,495.00,$495.00,$487.00,,
1R-A93C,,INGERSOLL-RAND,B243-01288-GCE,CONTROLLER,1,,,,,1.00,$1.00,,,
1R-A93D,S002090,FANUC,A16B-2202-0720,PC BOARD,4,,,,,"1,320.00","$5,280.00","$2,334.00",,
1R-A93E,S013577,MAZAK,D65UB004832,CONNECT BOARD,1,,,,,1.00,$1.00,,,
1R-A93F,S012546,FANUC,A20B-2100-0470,RJS PANEL BOARD,1,,,,,"1,800.00","$1,800.00","$4,606.00",,
1R-A94A,S005939,HAKKO,V606/M10,TOUCH SCREEN,0,,,,,1.00,$0.00,,,
1R-A94B,,,PS3N-E24A2,OUTPUT/INPUT CARD,1,,,,,1.00,$1.00,,,
1R-A94C,S007629,OMRON,C200H-MAD01,A/D UNIT,1,,,,,1.00,$1.00,,,
1R-A94D,S000195,HONEYWELL,RM7890B1014,FLAME AMPLIFIER,2,,,,,300.00,$600.00,$374.00,,
1R-A94E,,PROFACE,3180034-02,SCREEN,1,,,,,1.00,$1.00,,,
1R-A94F,,OMRON,C200H-OD219,OUTPUT CARD,5,,,,,300.00,"$1,500.00","$2,722.89",,
1R-A95A,?,FANUC,A16B-3200-0260,CIRCUIT BOARD,5,,,,,"1,290.00","$6,450.00",,,
1R-A95B,?,FANUC,A20B-8200-0720,BOARD,1,,,,,1.00,$1.00,"$3,674.00",,
1R-A95C,,,NFT-101RM1-S,,1,,,,,"3,115.00","$3,115.00",,,
1R-A95D,S002677,FANUC,A03B-0819-C105,MODULE,2,,,,,270.00,$540.00,$463.00,,
1R-A96A,S003708,FANUC,A16B-3200-0040,CIRCUIT BOARD,0,,,,,1.00,$0.00,"$2,612.00",,
1R-A96A,,MITSUBISHI,MR-J3-DU55KB4,SERVO DRIVE,1,,,,,"6,600.00","$6,600.00",,,
1R-A96B,S013712,FANUC,A06B-6110-H006,POWER SUPPLY,2,,,,,"1,586.00","$3,172.00","$3,757.00",,
1R-A96C,S002117,FANUC,A20B-8001-0721,PC BOARD,1,,,,,1.00,$1.00,$800.00,,
1R-A97A,S000899,FANUC,A16B-3200-0190,MAIN BOARD ,9,,,,,"1,525.00","$13,725.00","$2,827.00",,
1R-A97B,?,FANUC ,A06B-6110-H105,AMPLIFIER,1,,,,,"1,200.00","$1,200.00","$9,990.00",,
1R-A97C,,KEYENCE,VT3-V10,TOUCH PANEL,1,,,,,995.00,$995.00,,,
1R-A98A,S003713,FANUC,A20B-2000-0670,PC BOARD,1,,,,,1.00,$1.00,$736.00,,
1R-A98B,S016374,FANUC,A20B-2002-0470,PC BOARD,1,,,,,550.00,$550.00,$982.00,,
1R-A98C,,FUJI ELECTRONICS,FRN1.5G9S-2,INVERTER,1,,,,,1.00,$1.00,"$3,184.00",,
1R-A98D,,FANUC,A02B-0259-B501,PC BOARD,0,,,,,"2,515.00",$0.00,"$5,795.00",,
1R-A98E,S004017,RIKO,VSCP-100-N,MODULE,0,,,,120376,765.00,$0.00,"$1,038.10",,
1R-A98E,S004017,RIKO,VSCP-100-N,VARITAP,0,,,,,795.00,$0.00,"$1,038.10",,
1R-A99A,,FANUC,A02B-0211-B501,POWER MATE,2,,,,,"1,485.00","$2,970.00",,,
1R-A99B,S012488,FEC,NFT-401RM3A-S,NUT RUNNER,2,,,,,"3,845.00","$7,690.00","$1,746.00",,
1R-A99C,S002270,HONEYWELL,C7061A1046,PURPLE PEEPER,51,,,,,600.00,"$30,600.00","$1,265.00",,
1R-C02A,,DAIKIN,088A-2V2-3-30-844,VALVE,1,,,,,1.00,$1.00,"$1,898.00",,
1R-C02B,S006899,DAIKIN,TM10AI-2V23 ATNN 20 144,MOTOR,1,,,,,1.00,$1.00,,,
1R-C02C,,DAIKIN,KS0-G022CA-20N,SOLENOID VALVE,1,,,,,1.00,$1.00,,,
1R-C02D,,PARKER,PLUC33B2R225 ,VALVE,1,,,,,1.00,$1.00,,,
1R-C02D,,PARKER,PLUC33B2R225 ,VALVE,1,,,,,1.00,$1.00,,,
1R-C02E,,TOYOKI,HPP-VC2V-F114AD-EE-A,VALVE,2,,,,,1.00,$2.00,,,
1R-C02F,S010887,VICKERS,PVQ10A2RSE1920C21012,VALVE,1,,,,,1.00,$1.00,,,
1R-C02G,S010506,VICKERS,PVM018ER01AE01AAA28000000A0A,PUMP,1,,,,,"1,329.00","$1,329.00",,,
1R-C02H,,VICKERS,PFV125T2C12R1BFV1,PUMP,1,,,,,1.00,$1.00,,,
1R-C03A,S012592,TOKYO,F11-SQP3-30-86B-LH-18,VALVE,1,,,,,1.00,$1.00,,,
1R-C03B,S010811,TOKYO,F11-SQP3-32-86B-18L,VALVE,1,,,,,1.00,$1.00,,,
1R-C03C,,TOKYO,F11-SQP3-35-86D-18LH,VALVE,1,,,,,1.00,$1.00,,,
1R-C03D,,VICKERS,5525V30A171BB,VALVE,0,,,,,1.00,$0.00,,,
1R-C03E,,VICKERS,3520V38A-1BB20,VALVE,0,,,,,1.00,$0.00,,,
1R-C03F,,VICKERS,3P3D-16GCC,VALVE,1,,,,,1.00,$1.00,,,
1R-C03G,,FANUC,A06B-6200-H026,POWER SUPPLY,0,,,,,"1,630.00",$0.00,"$8,643.00",,
1R-C06B,,,YD 90L-4/2,POLE-CHANGING MOTOR,1,,,,,1.00,$1.00,,,
1R-C06C,,MARATHON,VD56C17F5322J,,0,,,,,1.00,$0.00,,,
1R-C06D,,TOKYO,EPFRCG-06-175-500-EX-10-S7,FLOW VALVE,0,,,,,1.00,$0.00,,,
1R-C06E,S008680,,HIGH VAC SHUT OFF UNIT,SHUT OFF UNIT,0,,,,,1.00,$0.00,,,
1R-C06F,,MITSUBISHI,FR-A540-30K-NA,DRIVE,1,,,,,0.00,0,,,
1R-D01A,S007561,IAI,SCON-C-600A-NP-2-2,ACTUATOR,1,,,,,860.00,$860.00,,,
1R-D01B,,IAI,SCON-C-4001-PN-2-2,ACUATOR,1,,,,,1.00,$1.00,$0.00,,
1R-D01C,,OMRON,CQM1-PRO01-E,PROGRAMMABLE CONTROLLER,2,,,,,1.00,$2.00,,,
1R-D01D,,OMRON,C200HW-PA204,POWER SUPPLY,2,,,,,300.00,$600.00,,,
1R-D01D,,OMRON,C200HW-PA204,POWER SUPPLY,1,,,,123086,279.00,$279.00,,,
1R-D01E,,IAI,RCP-C-SA6A,POWER SUPPLY,1,,,,,770.00,$770.00,,,
1R-D01F,,DAEWOO,DASD-CT15SPXA,SERVO DRIVE,1,,,,,940.00,$940.00,,,
1R-D01G,,FANUC,A06B-0235-B205 ,MOTOR,1,,,,,"1,764.00","$1,764.00",,,
1R-D01H,,LEXUS,L2S-150/400-D,DRIVE,4,,,,,"1,250.00","$2,500.00 ",,,
1R-D01I,,YASKAWA,SGDV-7R6A21AY871AA,SERVO PACK,2,,,,,900.00,"$1,800.00 ",,,
1R-D01J,,FUJI,FRN0.4G11S-2,INVERTER,5,,,,,398.00,"$1,990.00 ",,,
1R-D02A,,GRUNDFOS,CHI240-BQQV,VALVE,1,,,,,1.00,$1.00,,,
1R-D02B,,EBARA,93834462,PUMP,1,,,,,1.00,$1.00,,,
1R-D02C,,SMC,YCN5644-P1,PUMP,1,,,,,1.00,$1.00,,,
1R-D02D,,DYNA QUIP,MA20A1AB100,COOLANT PUMP,1,,,,,1.00,$1.00,,,
1R-D02F,S004217,TERAL KYOKUTO,VKP095AF,COOLANT PUMP,1,,,,,1.00,$1.00,,,
1R-D02G,S001219,TERAL KYOKUTO,VKP095A,COOLANT PUMP,1,,,,,1.00,$1.00,,,
1R-D02H,,,22751,COOLANT PUMP,0,,,,,1.00,$0.00,,,
1R-D02I,S001220,MITSUBISHI,NQD-751,COOLANT PUMP,2,,,,,1.00,$2.00,,,
1R-D03A,S012147,BRINKMANN,TE142S470+001,COOLANT PUMP,1,,,,,1.00,$1.00,,,
1R-D03B,S004240,TERAL KYOKUTO,LPW404C-3.0,HKD3 COOLANT PUMP,0,,,,,1.00,$0.00,,,
1R-D03C,,TOSHIBA,LEBANNON POWER 11961,MOTOR,1,,,,,1.00,$1.00,,,
1R-D03D,,,DFT100L4BM64MR,MOTOR,1,,,,,1.00,$1.00,,,
1R-D03E,,SERFIL CO,G62091,COOLANT PUMP,1,,,,,1.00,$1.00,,,
1R-D03F,S009951,GUSHER,11019-AVD-SE-A-3.5,COOLANT PUMP,1,,,,,1.00,$1.00,,,
1R-D03G,,NTB,LF80/2C-11,,1,,,,,1.00,$1.00,,,
1R-D04A,,LEESON,N284T11FK23,MOTOR,1,,,,,1.00,$1.00,,,
1R-D04B,,BALDOR,M106151X978G1,MOTOR,1,,,,,1.00,$1.00,,,
1R-D04C,,BALDOR,CEM233F254TC,MOTOR,1,,,,,1.00,$1.00,,,
1R-D04D,,BALDOR,A150928 ,MOTOR,0,,,,,"2,279.50",$0.00,"$4,295.00",,
1R-D04E,,WEG,WEG 02518EP3E  284T,MOTOR,1,,,,,1.00,$1.00,,,
1R-D05A,,FANUC,A290-0854-X501,FAN HOUSING,2,,,,,1.00,$2.00,,,
1R-D05B,,FANUC,A90L-0001-0442/R1,ASSEMBLY,2,,,,,1.00,$2.00,,,
1R-D05C,S009745,SANYO-DENKI,P20B10200DXS00,MOTOR/obsolete,0,,,,,"1,725.00",$0.00,"$1,448.00",,
1R-D05C,S009745,SANYO-DENKI,P20B10200DXS00,MOTOR/obsolete,3,,,,,"1,448.00","$4,344.00","$1,448.00",,
1R-D05D,,FANUC,A14B-0076-B001,POWER SUPPLY,2,,,,,1.00,$2.00,,,
1R-D05E,,MITSUBISHI,FR-A540-1.5K-NA,INVERTER,1,,,,,"1,208.00","$1,208.00",,,
1R-D05F,,FANUC,P50B08100DXSSD,MOTOR,0,,,,,"1,455.00",$0.00,,,
1R-D05G,,ALLEN-BRADLEY,2094-BM05-M,POWER MODULE,1,,,,,"1,150.00","$1,150.00",,,
1R-D05H,,IAI,HG1H-SA12CEH-MK1379-S5-1,TEACH PENDANT,1,,,,,545.00,$545.00,,,
1R-D06A,,NORD,200982486-100 SK71L/4,MOTOR,0,,,,,1.00,$0.00,,,
1R-D06B,S005977,FUJI,FRN0.4G9S-2,INVERTER,3,,,,,1.00,$3.00,,,
1R-D06C,,HITACHI,B266709 YIFO 1.5 KW,MOTOR,1,,,,,1.00,$1.00,,,
1R-D06D,,BALDOR,VM3554T,MOTOR,1,,,,,1.00,$1.00,,,
1R-D06E,,RELIANCE,C56H1590,MOTOR,1,,,,,1.00,$1.00,"$8,000.00",,
1R-D06F,,,D098735 AEV400 1/2,INDUCTION MOTOR,2,,,,,1.00,$2.00,"$8,000.00",,
1R-D06G,,FANUC,A06B-1460-B900,MOTOR,1,,,,,"3,287.00","$3,287.00","$14,348.00",,
1R-D06H,S015297,LEESON,C42D17FKIC,1/2 hp motor,1,,,,,1.00,$1.00,,,
1R-D07A,S013487,FANUC,A06B-0123-B675,MOTOR,1,,,,,"1,526.00","$1,526.00","$4,929.00",,
1R-D07B,S007752,FANUC,A06B-0215-B605,MOTOR,3,,,,,860.00,"$2,580.00","$1,709.00",,
1R-D07C,?,FANUC,A06B-0123-B077,MOTOR,1,,,,,"1,840.00","$1,840.00",,,
1R-D07D,,FANUC,A06B-0115-B804,MOTOR,0,,,,,585.00,$0.00,$722.00,,
1R-D07D,,FANUC,A06B-0115-B804,MOTOR,1,,,,124074,935.00,$935.00,,,
1R-D07E,S002051,FANUC,A06B-0373-B575,MOTOR,2,,,,,425.00,$850.00,"$1,584.00",,
1R-D07F,,SANYO-DENKI,P50B08100DXS00,MOTOR,0,,,,122503,"1,885.00","$1,885.00",,,
1R-D07F,,SANYO-DENKI,P50B08100DXS00,MOTOR,3,,,,,"1,455.00","$4,365.00",,,
1R-D07G,S010916,FANUC,A06B-0226-B001,MOTOR,1,,,,,875.00,$875.00,"$1,677.00",,
