Date,Plant,Shift,Machine Number,Part Description,Die Number,Indirect Downtime Reason,Indirect Downtime Minutes,Indirect Downtime Notes,ID DT Description,ID Start Time,ID Stop Time
1-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Clean Up,10,over 4s+d,Misc.,01:55 PM,02:05 PM
1-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Clean Up,10,over 4s+d,Misc.,10:45 AM,10:55 AM
1-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Condition Check Die,20,condition check; no leaks; pulled long vac to remove excessive die lube from HB,Die Related,12:50 PM,01:10 PM
1-Mar-22,AAC Plant 2,1,2250-7,881 Oil Pan DC,6,Condition Check Die,15,qe request; shrinkage; no leaks adj water,Die Related,02:15 PM,02:30 PM
1-Mar-22,AAC Plant 2,2,2250-10,G300 TRANSMISSION CASE DC,3,Die Change,325,carryover; auto change not working; called maint and dm,Die Related,11:05 PM,04:30 AM
1-Mar-22,AAC Plant 2,2,2250-10,G300 TRANSMISSION CASE DC,3,Condition Check Die,25,condition check; 2/3 leaker,Die Related,06:45 PM,07:10 PM
1-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,7,Condition Check Die,50,leakers on c-2 circuit,Die Related,12:20 PM,01:10 AM
1-Mar-22,AAC Plant 2,2,2250-2,744 TA HOUSING FWD DC,1,Clean Up,10,over 4s+d,Misc.,01:25 AM,01:35 AM
1-Mar-22,AAC Plant 2,2,2250-5,G298 TA HOUSING AWD DC,5,Die Change,55,carryover from 4s+d; broke pin on m/s. called dm,Die Related,07:40 AM,08:35 AM
2-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Condition Check Die,20,Developer check per supervisor; No leaks,Die Related,09:50 AM,10:10 AM
2-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Condition Check Die,15,Developer check; Spruce core leaking,Die Related,01:45 PM,02:00 PM
2-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Die Change,0,Carry over die change; Waiting on dm to core swap die 1,Die Related,05:00 AM,08:00 AM
2-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Condition Check Die,30,CC,Die Related,11:20 AM,11:50 AM
2-Mar-22,AAC Plant 2,1,2250-2,744 TA HOUSING FWD DC,1,Other (Indirect),20,Safety plug pulled under deck; Catcher trying to clean belly pan,Casting Process/Equipment,10:00 AM,10:20 AM
2-Mar-22,AAC Plant 2,1,2250-5,G298 TA HOUSING AWD DC,1,Die Change,30,Die change,Die Related,09:00 AM,09:30 AM
2-Mar-22,AAC Plant 2,1,2250-5,G298 TA HOUSING AWD DC,1,Die Change,45,Finish die change,Die Related,11:00 AM,11:45 AM
2-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,2,Die Change,375,Pulled SS; Squeeze pin still ng fg; dm to core swap to die 1;Fail leak check,Die Related,11:15 AM,05:00 PM
2-Mar-22,AAC Plant 2,1,2250-8,19MY NONPTO TRANSMISSION CASE DC,1,Date Stamp-ID,10,date stamp came out,Die Related,09:10 AM,09:20 AM
2-Mar-22,AAC Plant 2,1,500-3,G904 Stator Wheel DC,3,Condition Check Die,20,Cleaning die; Checking programs,Die Related,05:15 AM,05:35 AM
2-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,Condition Check Die,30,CC,Die Related,04:00 PM,04:30 PM
2-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,11,Die Change,60,,Die Related,01:30 PM,02:30 PM
2-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,8,Die Change,0,Die change; carry over,Die Related,05:15 AM,06:40 AM
2-Mar-22,AAC Plant 2,2,1650-1,"103E Oil Pan, No. 1  DC",3,Water/Die Lube Supply,10,Grease fault; #2 grease lub needs bled,Casting Process/Equipment,06:00 PM,06:10 PM
2-Mar-22,AAC Plant 2,2,2250-12,BC01 Transmission Case DC,12,N/G Tip or Sleeve Change,40,Changing out lines; Hot oil,Casting Process/Equipment,07:50 PM,08:30 PM
2-Mar-22,AAC Plant 2,2,2250-2,744 TA HOUSING FWD DC,1,Die Change,75,Die change; Set 744 fwd 2,Die Related,06:00 PM,07:15 PM
2-Mar-22,AAC Plant 2,2,2250-7,881 Oil Pan DC,6,Product Change,0,Die change; Scheduled; Set a467 adp 3,Die Related,06:00 PM,07:25 PM
2-Mar-22,AAC Plant 2,2,2250-7,A467 Adaptor DC,3,Condition Check Die,20,CC; Cold shut s/s,Die Related,04:25 AM,04:45 AM
2-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,7,Condition Check Die,11,Checking powder coverage,Die Related,10:52 PM,11:03 PM
3-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Condition Check Die,10,developer check,Die Related,11:40 AM,11:50 AM
3-Mar-22,AAC Plant 2,2,2250-10,G300 TRANSMISSION CASE DC,1,Condition Check Die,30,carry over; dm still in dcm,Die Related,01:30 AM,02:00 AM
3-Mar-22,AAC Plant 2,2,2250-3,G300 TA HOUSING FWD DC,2,Die Change,120,die chip x2,Die Related,01:15 PM,03:15 PM
3-Mar-22,AAC Plant 2,2,2250-8,19MY PTO TRANSMISSION CASE DC,3,Condition Check Die,30,condition check cold shut on c-2/c-3,Die Related,08:25 PM,08:55 PM
4-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Other (Indirect),15,over strt,Casting Process/Equipment,05:15 AM,05:30 AM
4-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Other (Indirect),5,over start,Casting Process/Equipment,05:15 AM,05:20 AM
4-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,5,Condition Check Die,40,3 out of 3 leakers,Die Related,01:15 PM,01:55 PM
4-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,5,Condition Check Die,25,crack insert leaking,Die Related,04:05 PM,04:30 AM
4-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,5,Condition Check Die,15,devel check,Die Related,11:45 AM,12:00 PM
4-Mar-22,AAC Plant 2,1,2250-5,G298 TA HOUSING AWD DC,3,Condition Check Die,10,devel check,Casting Process/Equipment,10:20 AM,10:30 AM
4-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,3,Condition Check Die,48,cond check,Die Related,07:56 AM,08:44 AM
4-Mar-22,AAC Plant 2,2,2250-10,G300 TRANSMISSION CASE DC,3,Condition Check Machine,90,carry over ; dm repairing die chips,Casting Process/Equipment,12:00 AM,01:30 AM
4-Mar-22,AAC Plant 2,2,2250-10,G300 TRANSMISSION CASE DC,3,Condition Check Die,35,qc 2 out of 3 leaker,Die Related,08:20 PM,08:55 PM
4-Mar-22,AAC Plant 2,2,2250-6,587F Crank Case Stiffening DC,31,Die Change,100,bad production. leaking sprue bushing; die change,Die Related,01:20 AM,03:00 AM
4-Mar-22,AAC Plant 2,2,2250-8,19MY PTO TRANSMISSION CASE DC,3,Condition Check Die,70,condition check; sprue core leaking; called dm,Die Related,10:00 PM,11:10 PM
4-Mar-22,AAC Plant 2,2,2250-8,19MY PTO TRANSMISSION CASE DC,3,Condition Check Die,50,condition check; cold shut on c-2,Die Related,02:00 AM,02:50 AM
4-Mar-22,AAC Plant 2,2,800-1,744K CENTER SUPPORT DC,3,Condition Check Die,15,condition check die; cold shot on bearing boss,Die Related,12:22 AM,12:37 AM
5-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,5,Die Change,40,pull die 5 set backup,Die Related,03:50 PM,04:30 PM
7-Mar-22,AAC Plant 2,1,2250-2,744 TA HOUSING AWD DC,1,Product Change,0,Die change; Scheduled; 744 fwd 1,Die Related,03:00 PM,05:00 PM
7-Mar-22,AAC Plant 2,1,2250-3,G300 TA HOUSING FWD DC,3,Die Change,0,Die change; Scheduled,Die Related,05:00 AM,10:45 AM
7-Mar-22,AAC Plant 2,1,2250-4,946F Crankcase DC,11,Condition Check Die,30,CC; Crack in part,Die Related,12:45 PM,01:15 PM
7-Mar-22,AAC Plant 2,1,2250-7,A467 Transmission Housing DC,3,Die Change,0,Die change; Scheduled; Set die 3,Die Related,05:15 AM,07:00 AM
7-Mar-22,AAC Plant 2,1,2250-8,19MY PTO TRANSMISSION CASE DC,3,Other (Indirect),15,Wait on stock cage,Casting Process/Equipment,05:25 AM,05:40 AM
7-Mar-22,AAC Plant 2,1,2250-8,19MY PTO TRANSMISSION CASE DC,3,Die Change,0,Scheduled die change; Set g298 tah 1,Die Related,09:00 AM,11:30 AM
7-Mar-22,AAC Plant 2,1,2250-9,881 Oil Pan DC,10,Other (Indirect),25,DM carry over,Die Related,11:20 AM,11:45 AM
7-Mar-22,AAC Plant 2,1,2250-9,881 Oil Pan DC,10,Other (Indirect),10,Over start,Casting Process/Equipment,05:15 AM,05:25 AM
7-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,Die Change,60,Die change; Set die 5,Die Related,03:20 PM,04:20 PM
7-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,1,Condition Check Die,20,CC; NG porosity,Die Related,03:03 PM,03:23 PM
7-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,1,Die Change,30,Die change; Flahed through spruce bushing,Die Related,04:00 PM,04:30 PM
7-Mar-22,AAC Plant 2,2,1650-1,881 Oil Pan DC,6,Die Change,0,Scheduled maint. Found c plate set up was backwards; Called dm,Die Related,05:15 PM,10:00 PM
7-Mar-22,AAC Plant 2,2,2250-10,G300 TRANSMISSION CASE DC,3,Condition Check Die,30,qc 2 out of 5 leakers,Die Related,08:20 AM,08:50 AM
7-Mar-22,AAC Plant 2,2,2250-10,G300 TRANSMISSION CASE DC,3,Water/Die Lube Supply,265,die chg-leaking pins,Die Related,11:35 AM,04:00 PM
7-Mar-22,AAC Plant 2,2,2250-2,744 TA HOUSING FWD DC,1,Product Change,0,Scheduled die change; ADJ spray in spec,Die Related,05:15 PM,05:45 PM
7-Mar-22,AAC Plant 2,2,2250-6,587F Crank Case Stiffening DC,29,Die Change,115,Broke pin c2; Pulled die for dm repair,Die Related,02:05 AM,04:00 AM
7-Mar-22,AAC Plant 2,2,2250-8,G298 TA HOUSING AWD DC,1,Clean Up,10,Over 4s + d,Casting Process/Equipment,01:10 AM,01:20 AM
8-Mar-22,AAC Plant 2,1,1650-1,881 Oil Pan DC,6,Metal Delivery,75,heater #1 NG,Metal Delivery,06:10 AM,07:25 AM
8-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Other (Indirect),15,overstart,Casting Process/Equipment,05:15 AM,05:30 AM
8-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,6,Die Change,290,pulled die in half; broken ej pins; DM to swap core,Die Related,07:30 AM,12:20 PM
8-Mar-22,AAC Plant 2,1,2250-11,BC01 Transmission Case DC,13,Clean Up,20,over 4s+d,Misc.,02:00 PM,02:20 PM
8-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,9,Clean Up,5,over 4s+d,Misc.,02:00 PM,02:05 PM
8-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Metal Delivery,15,ladle arm over run; out of metal,Metal Delivery,11:10 AM,11:25 AM
8-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Metal Delivery,10,ladle arm over run; out of metal,Metal Delivery,10:50 AM,11:00 AM
8-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,5,Die Change,60,flashed out-pulled die,Die Related,02:20 PM,03:20 PM
8-Mar-22,AAC Plant 2,2,2250-10,G300 TRANSMISSION CASE DC,6,Condition Check Die,25,cold shot on m/s; pin leaking on c-2; called dm,Die Related,08:30 PM,08:55 PM
8-Mar-22,AAC Plant 2,2,2250-10,G300 TRANSMISSION CASE DC,6,Die Change,65,die change,Die Related,09:55 PM,11:00 PM
8-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,7,Water/Die Lube Supply,20,grease fault; #3 grease lube empty,Die Related,03:25 AM,03:45 AM
8-Mar-22,AAC Plant 2,2,2250-2,744 TA HOUSING FWD DC,2,Die Change,20,Auto exchanged wrong core set,Die Related,02:40 AM,03:00 AM
8-Mar-22,AAC Plant 2,2,2250-5,G298 TA HOUSING AWD DC,5,Condition Check Die,40,contaminated parts; called DM,Die Related,08:40 PM,09:20 PM
9-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Date Stamp-ID,15,start up,Casting Process/Equipment,06:35 AM,06:50 AM
9-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,5,Other (Indirect),10,over start,Casting Process/Equipment,05:15 AM,05:25 AM
9-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,5,Condition Check Die,45,"cold shot on part; water leak under c-1, ng hose, called dm",Die Related,06:05 AM,06:50 AM
9-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Condition Check Die,25,1 out of 2 leakers,Die Related,10:45 AM,11:10 AM
9-Mar-22,AAC Plant 2,1,2250-2,744 TA HOUSING FWD DC,2,Condition Check Die,20,developer check ng; s/s water leak,Die Related,10:10 AM,10:30 AM
9-Mar-22,AAC Plant 2,1,2250-8,G298 TA HOUSING AWD DC,1,Condition Check Die,15,developer check,Die Related,11:15 AM,11:30 AM
9-Mar-22,AAC Plant 2,1,2250-9,881 Oil Pan DC,10,Date Stamp-ID,30,date stamp pulled out; call dm,Casting Process/Equipment,05:30 AM,06:00 AM
9-Mar-22,AAC Plant 2,1,2250-9,881 Oil Pan DC,10,Clean Up,25,carryover 4s+d/ finish polish die,Misc.,11:35 AM,12:00 PM
9-Mar-22,AAC Plant 2,1,500-3,G903 Stator Wheel DC,4,Other (Indirect),15,e-stop hit; run robots home and reset,Casting Process/Equipment,02:25 PM,02:40 PM
9-Mar-22,AAC Plant 2,2,1650-1,881 Oil Pan DC,6,Die Change,30,set s/s carryover; busted sprue bushing,Die Related,05:15 PM,05:45 PM
9-Mar-22,AAC Plant 2,2,2250-10,G300 TRANSMISSION CASE DC,5,Condition Check Die,25,2 out of 4 leaker; developer check okay,Die Related,07:50 PM,08:15 PM
9-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,7,Metal Delivery,15,molten metal alarm; out of metal,Metal Delivery,09:30 PM,09:45 PM
9-Mar-22,AAC Plant 2,2,2250-6,587F Crank Case Stiffening DC,29,Die Change,205,water leaking on die; pin broke on c-2,Die Related,07:05 PM,10:30 PM
9-Mar-22,AAC Plant 2,2,2250-8,19MY NONPTO TRANSMISSION CASE DC,1,Date Stamp-ID,15,date stamp came out; loose threading on m/s,Die Related,01:35 AM,01:50 AM
10-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,11,Other (Indirect),10,over start,Casting Process/Equipment,05:15 AM,05:25 AM
10-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,11,Condition Check Die,15,porosity at matix,Casting Process/Equipment,08:30 AM,08:45 AM
10-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,6,Water/Die Lube Supply,10,spray,Casting Process/Equipment,01:30 PM,01:40 PM
10-Mar-22,AAC Plant 2,1,2250-3,G300 TA HOUSING FWD DC,3,Condition Check Die,10,condition check; qc request,Die Related,08:00 AM,08:10 AM
10-Mar-22,AAC Plant 2,1,2250-3,G298 TA HOUSING AWD DC,3,Water/Die Lube Supply,15,shutdown; die lube station,Casting Process/Equipment,01:35 PM,01:50 PM
10-Mar-22,AAC Plant 2,1,2250-4,946F Crankcase DC,12,Water/Die Lube Supply,10,shutdown; die lube station,Casting Process/Equipment,01:35 PM,01:45 PM
10-Mar-22,AAC Plant 2,1,2250-5,G298 TA HOUSING AWD DC,5,Water/Die Lube Supply,10,shutdown; die lube station,Casting Process/Equipment,01:35 PM,01:45 PM
10-Mar-22,AAC Plant 2,1,2250-7,A467 Extension Housing DC,1,Clean Up,50,"4s+d; flashed through vac, called DM",Misc.,03:10 PM,04:00 PM
10-Mar-22,AAC Plant 2,1,2250-9,881 Oil Pan DC,10,Other (Indirect),25,4s+d carry over; DM scheduled polish,Misc.,11:30 AM,11:55 AM
10-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,10,Metal Delivery,11,cycle over; ran out of metal,Metal Delivery,08:36 AM,08:47 AM
10-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,9,Condition Check Machine,30,galling on bolt boss,Casting Process/Equipment,07:16 AM,07:46 AM
10-Mar-22,AAC Plant 2,2,2250-10,G300 TRANSMISSION CASE DC,5,Condition Check Die,25,Condition check; 1 Out of 5 leaker,Die Related,01:05 AM,01:30 AM
10-Mar-22,AAC Plant 2,2,2250-6,984F Crankcase DC,1,Product Change,0,Scheduled die change; Set 984 CC; training operator,Die Related,05:15 PM,07:15 PM
10-Mar-22,AAC Plant 2,2,2250-7,587F Crank Case Stiffening DC,31,Product Change,0,Scheduled product change; Set 587f cc; Called engineering to re- teach BSM,Die Related,05:15 PM,09:55 PM
10-Mar-22,AAC Plant 2,2,500-3,G903 Stator Wheel DC,4,Product Change,0,Scheduled die change; Pulled g904 sw 4 set G903 sw 4,Die Related,05:15 PM,06:15 PM
11-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,8,Die Change,70,thick flash in flow window,Die Related,12:50 PM,02:00 PM
11-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Condition Check Die,30,1 out of 2 leaker,Die Related,10:55 AM,11:25 AM
11-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Die Change,80,balance issues with a cavity; engineer looking at machine and die,Die Related,09:20 AM,10:40 AM
11-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,Condition Check Die,9,ok,Die Related,02:11 PM,02:20 PM
11-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,Condition Check Machine,26,acc pressure low; charged acc,Casting Process/Equipment,02:26 PM,03:02 PM
11-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,10,Die Change,60,flash out A&B,Die Related,12:15 PM,01:15 PM
11-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,10,Condition Check Die,16,low spot on parts,Die Related,08:21 AM,08:37 AM
11-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,8,Other (Indirect),10,cycle over,Die Related,03:58 PM,04:08 PM
11-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,9,Die Change,25,pulling s/s,Die Related,04:05 PM,04:30 PM
11-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,9,Condition Check Die,20,ng porosity,Die Related,02:40 PM,03:00 PM
11-Mar-22,AAC Plant 2,2,2250-12,BC01 Transmission Case DC,12,Die Change,0,No production; Scheduled die change; Waiting on crane,Die Related,10:45 PM,05:00 AM
11-Mar-22,AAC Plant 2,2,2250-12,BC01 Transmission Case DC,9,Die Change,0,Scheduled die change; Waiting on crane,Die Related,07:40 PM,10:40 PM
11-Mar-22,AAC Plant 2,2,2250-3,G300 TA HOUSING FWD DC,3,Product Change,0,Scheduled die change; Auto exchane to G300 tah #3,Die Related,07:40 PM,08:30 PM
11-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,8,Other (Indirect),185,Furnace lost power; Metal too cold,Casting Process/Equipment,06:50 PM,09:55 PM
11-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,8,Condition Check Machine,60,CC; NG floor height,Casting Process/Equipment,01:15 AM,02:15 AM
11-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,8,Die Change,55,Die change; Set g300 cs 1,Die Related,02:15 AM,03:10 AM
12-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,1,Condition Check Machine,14,floor height ng; water line turned off and powder pin clogged,Die Related,08:39 AM,08:53 AM
12-Mar-22,AAC Plant 2,2,2250-11,BC01 Transmission Case DC,13,Other (Indirect),15,Date stamp change; MCC checks,Casting Process/Equipment,05:15 PM,05:30 PM
12-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,1,Condition Check Die,5,Condition check; NG floor height,Die Related,08:09 PM,08:14 PM
12-Mar-22,AAC Plant 2,2,800-3,G300 CENTER SUPPORT DC,9,Die Change,60,Die change; Set g300 #4,Die Related,03:45 AM,04:30 AM
12-Mar-22,AAC Plant 2,2,800-3,G300 CENTER SUPPORT DC,9,Condition Check Die,13,Condition check; Failed ship ahead for porosity,Die Related,03:15 AM,03:33 AM
12-Mar-22,AAC Plant 2,2,800-3,G300 CENTER SUPPORT DC,9,Condition Check Machine,30,Condition check,Casting Process/Equipment,07:35 PM,08:05 PM
13-Mar-22,AAC Plant 2,1,2250-8,19MY PTO TRANSMISSION CASE DC,3,Condition Check Die,20,leakers on c-2,Die Related,08:35 AM,08:55 AM
13-Mar-22,AAC Plant 2,1,2250-8,19MY PTO TRANSMISSION CASE DC,3,Condition Check Machine,10,developer check,Casting Process/Equipment,09:00 AM,09:10 AM
13-Mar-22,AAC Plant 2,1,800-3,G300 CENTER SUPPORT DC,4,Condition Check Die,18,porosity,Die Related,10:22 AM,10:40 AM
13-Mar-22,AAC Plant 2,2,2250-8,19MY PTO TRANSMISSION CASE DC,3,Condition Check Die,45,CC-1-4 leaker,Die Related,07:15 PM,08:00 PM
14-Mar-22,AAC Plant 2,1,1650-1,"103E Oil Pan, No. 1  DC",2,Metal Delivery,10,ladle arm over run; out of metal,Metal Delivery,10:05 AM,10:15 AM
14-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,6,Metal Delivery,20,metal low alarm; melt furnace down,Metal Delivery,07:05 AM,07:25 AM
14-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Metal Delivery,35,out of metal; call melt,Metal Delivery,08:25 AM,09:00 AM
14-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Metal Delivery,5,out of metal; call melt,Metal Delivery,10:50 AM,10:55 AM
14-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,9,Metal Delivery,30,out of metal,Metal Delivery,07:10 AM,07:40 AM
14-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,9,Metal Delivery,10,out of metal,Metal Delivery,09:20 AM,09:30 AM
14-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,9,Metal Delivery,-40,,,,
14-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,9,Metal Delivery,10,out of meqal,Casting Process/Equipment,09:20 AM,09:30 AM
14-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,9,Metal Delivery,30,out of metal,Casting Process/Equipment,07:10 AM,07:40 AM
14-Mar-22,AAC Plant 2,1,2250-3,G300 TA HOUSING FWD DC,3,Condition Check Die,10,crack pc pin on m/s,Die Related,08:35 AM,08:45 AM
14-Mar-22,AAC Plant 2,1,2250-8,19MY PTO TRANSMISSION CASE DC,3,Condition Check Die,25,part cracked; developer check ok/ no leaks,Die Related,02:15 PM,02:40 PM
14-Mar-22,AAC Plant 2,1,2250-8,19MY PTO TRANSMISSION CASE DC,3,Metal Delivery,15,cold metal alarm; check thermal couple,Metal Delivery,12:45 PM,01:00 PM
14-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,Condition Check Die,46,ng porostiy; fixed leak on water jacket shot rod,Die Related,02:47 PM,03:33 PM
14-Mar-22,AAC Plant 2,2,2250-11,BC01 Transmission Case DC,13,Water/Die Lube Supply,45,MAin power cool pipe busted in front of 2250-12,Casting Process/Equipment,02:15 AM,03:00 AM
14-Mar-22,AAC Plant 2,2,2250-12,BC01 Transmission Case DC,12,Water/Die Lube Supply,45,Main water line under deck busted,Casting Process/Equipment,02:10 AM,02:55 AM
14-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,9,Other (Indirect),215,Scheduled stop per japanese support; Lazer etch not changing over to 2nd shift,Casting Process/Equipment,05:15 PM,08:50 PM
14-Mar-22,AAC Plant 2,2,2250-6,587F Crank Case Stiffening DC,31,Die Change,0,Die change; Scheduled; 984 cc to 587 cc,Die Related,05:15 PM,07:00 PM
14-Mar-22,AAC Plant 2,2,500-3,G904 Stator Wheel DC,3,Die Change,0,Die change; Scheduled,Die Related,05:15 PM,06:45 PM
14-Mar-22,AAC Plant 2,2,800-2,G300 CENTER SUPPORT DC,1,Die Change,30,Die change,Die Related,04:00 AM,04:30 AM
15-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,6,Other (Indirect),15,Over start,Casting Process/Equipment,05:15 AM,05:30 AM
15-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,9,Condition Check Die,20,Condition check;  2 leakers,Die Related,08:50 AM,09:10 AM
15-Mar-22,AAC Plant 2,1,2250-4,946F Crankcase DC,12,Metal Delivery,15,Metal low,Casting Process/Equipment,05:15 AM,05:30 AM
15-Mar-22,AAC Plant 2,1,2250-5,G298 TA HOUSING AWD DC,5,Die Change,0,Die change;Pull die 5; Set die 3,Die Related,04:00 PM,05:00 PM
15-Mar-22,AAC Plant 2,1,2250-7,A467 Transmission Housing DC,3,Die Change,0,Scheduled die change; Set a467 adp 3,Die Related,03:00 AM,05:00 AM
15-Mar-22,AAC Plant 2,1,2250-8,19MY PTO TRANSMISSION CASE DC,3,Metal Delivery,85,Melt issues,Casting Process/Equipment,07:50 AM,09:15 AM
15-Mar-22,AAC Plant 2,1,2250-8,19MY PTO TRANSMISSION CASE DC,3,Condition Check Die,20,CC; Cracks s/s,Die Related,07:30 AM,07:50 AM
15-Mar-22,AAC Plant 2,1,2250-9,881 Oil Pan DC,10,Condition Check Die,30,Condition check; Cold shot on part,Die Related,01:25 PM,01:55 PM
15-Mar-22,AAC Plant 2,2,2250-1,946F Crankcase DC,6,Other (Indirect),45,Melt,Casting Process/Equipment,04:00 AM,04:45 AM
15-Mar-22,AAC Plant 2,2,2250-11,BC01 Transmission Case DC,13,Date Stamp-ID,10,Wrong date stamp,Die Related,05:45 PM,05:55 PM
15-Mar-22,AAC Plant 2,2,2250-12,BC01 Transmission Case DC,9,Die Change,135,Die change; Setting bc01 tm 12,Die Related,05:45 PM,08:00 PM
15-Mar-22,AAC Plant 2,2,2250-2,744 TA HOUSING FWD DC,1,Other (Indirect),45,Melt,Casting Process/Equipment,04:00 AM,04:45 AM
15-Mar-22,AAC Plant 2,2,2250-3,G300 TA HOUSING FWD DC,3,Product Change,0,Die change; Scheduled,Die Related,02:35 AM,04:00 AM
15-Mar-22,AAC Plant 2,2,2250-8,19MY PTO TRANSMISSION CASE DC,3,Die Change,0,Die change; Scheduled,Die Related,02:15 AM,04:30 AM
15-Mar-22,AAC Plant 2,2,2250-8,19MY PTO TRANSMISSION CASE DC,3,Condition Check Die,55,CC; Failed leak check,Die Related,08:05 PM,09:00 PM
15-Mar-22,AAC Plant 2,2,500-3,G904 Stator Wheel DC,3,Die Change,0,Die change; Scheduled; change to g903 sw #4,Die Related,01:45 AM,02:45 AM
16-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,6,Die Change,0,Scheduled holding block change,Die Related,03:30 PM,05:00 PM
