Item,Item Description,Item Status,Quantity,Subinventory,UOM,Location,Lot Number,Organization
S011715,LIFT HEAD[J-15]MA13 M200 RC ASSEMBLY,Inactive,0,,,,218,AAC Plant 2
S011716,LIFT HEAD[J-17]MA13 M200 RC ASSEMBLY,Active,2,STOCK CAGE,EA,1F007B,96,AAC Plant 1
S011716,LIFT HEAD[J-17]MA13 M200 RC ASSEMBLY,Inactive,0,,,,96,AAC Plant 2
S011717,LIFT HEAD[J-18]MA13 M200 RC ASSEMBLY,Active,2,STOCK CAGE,EA,1F007C,96,AAC Plant 1
S011717,LIFT HEAD[J-18]MA13 M200 RC ASSEMBLY,Inactive,0,,,,96,AAC Plant 2
S011718,LIFT HEAD[J-19]MA13 M200 RC ASSEMBLY,Active,2,STOCK CAGE,EA,1F009D,96,AAC Plant 1
S011718,LIFT HEAD[J-19]MA13 M200 RC ASSEMBLY,Inactive,0,,,,96,AAC Plant 2
S011719,LIFT HEAD[J-20]MA13 M200 RC ASSEMBLY,Active,2,STOCK CAGE,EA,1F007A,96,AAC Plant 1
S011719,LIFT HEAD[J-20]MA13 M200 RC ASSEMBLY,Inactive,0,,,,96,AAC Plant 2
S011720,ROUND LOCATING PIN[J-9R]MA13 M200 RC ASSEMBLY,Active,12,STOCK CAGE,EA,1F025G,168,AAC Plant 1
S011720,ROUND LOCATING PIN[J-9R]MA13 M200 RC ASSEMBLY,Inactive,0,,,,168,AAC Plant 2
S011721,DIAMOND LOCATING PIN[J-9D] [J9D] MA13 M200 RC ASSEMBLY,Active,10,STOCK CAGE,EA,1M044G,168,AAC Plant 1
S011721,DIAMOND LOCATING PIN[J-9D] [J9D] MA13 M200 RC ASSEMBLY,Inactive,0,,,,168,AAC Plant 2
S011722,FANUC J3 OIL SEAL 2[XGMF-14823]FOR M16iB J3 AXIS ROBOT,Active,4,STOCK CAGE,EA,1K013F,21.56,AAC Plant 1
S011723,FANUC O-RING [ JB-OR1A-G75 ] FOR M16iB ROBOT,Active,2,STOCK CAGE,EA,1K002E,7,AAC Plant 1
S011724,FANUC J3 BEARING [ XGMF-11197 ] FOR M16iB ROBOT,Active,2,STOCK CAGE,EA,1K004E-1,40,AAC Plant 1
S011725,FANUC J3 O163 O-RING[XGMF-08737]FOR M16iB ROBOT,Active,2,STOCK CAGE,EA,1K001F,25.48,AAC Plant 1
S011726,FANUC J3 S44 ORING[XGMF-05874]FOR M16iB ROBOT,Active,2,STOCK CAGE,EA,1N055B-3,7,AAC Plant 1
S011727,FANUC GEAR J3-1[A290-7216-X411]FOR M16iB ROBOT,Active,2,STOCK CAGE,EA,1K004D,62,AAC Plant 1
S011728,FANUC J3 RV REDUCER[A97L-0218-0305#37]FOR M16iB ROBOT,Active,2,STOCK CAGE,EA,1ZS001D,3641.4,AAC Plant 1
S011729,EJECTOR ROD BUSHING[EJECTOR ROD BUSHING]500T 800T & 900T,Active,6,STOCK CAGE,EA,1ZP009A,180,AAC Plant 1
S011730,NSD SHOT ROD ENCODER CABLE[3P-RBT-0144-30] 2250 TON / DC,Active,1,STOCK CAGE,EA,2V023F,748,AAC Plant 2
S011731,2250GH NSD SHOT STROKE ENCODER [VLS-12.8PRA28-1150-S129](SHOT STROKE SENSOR ROD) 2250 TON / DC,Active,3,STOCK CAGE,EA,2K001A,9987,AAC Plant 2
S011732,NSD SHOT STROKE ENCODER / INTENSIFICATION VALVE ENCODER CONVERTER ( NCV-20NGNMP ) DC03 2250GH {REPLACES NSD VM-2AG-32},Active,1,STOCK CAGE,EA,2Y009B,2415,AAC Plant 2
S011733,SMC SUCTION GUARD O-RING[AL-185H-V]DC03 2250GH,Active,20,STOCK CAGE,EA,2G053C-3,6.6,AAC Plant 2
S011734,SMC SUCTION GUARD SEAL[AL-182H-V]DC03 2250GH,Active,8,STOCK CAGE,EA,2G053D,13.25,AAC Plant 2
S011735,"STINGER [ 800#4,5,6STINGER ] DC04 850IS 800#4,5,6",Active,2,STOCK CAGE,EA,2N015G-3,240,AAC Plant 2
S011736,STANELESS STEEL STANDOFF FOR WASHER[STAINLESS STEEL STANDOFF]CLL3001,Active,6,STOCK CAGE,EA,2G066D-2,105,AAC Plant 2
S011737,BSM PUSHER LINKAGE [ 2250#7 BSM PUSHER LINKAGE ] DC03 2250GH,Active,5,STOCK CAGE,EA,2N015I-1,90,AAC Plant 2
S011738,BSM KICKER [ 2250#7 BSM KICKER ] DC03 2250GH,Active,3,STOCK CAGE,EA,2N015I-2,110,AAC Plant 2
S011739,LADLE COLLAR [ 2250 LADLE COLLAR ] USED ON 2250T LADLE SHAFTDC03 2250GH,Active,5,STOCK CAGE,EA,2H005O,148,AAC Plant 2
S011740,"STINGER PIN [ 800#4,5,6 STINGER PIN ] DC04 850IS 800#4,5,6",Active,2,STOCK CAGE,EA,2N015I-3,148,AAC Plant 2
S011741,TRIM PRESS LONG WEAR PLATE [ 2250 TRIM PRESS LONG WEAR PLATE ] DC03 2250GH,Active,0,,,,810,AAC Plant 2
S011742,VACUUM FILTER PLATE [PMCU4--80-1.5] GUIDE PLATE (304 STAINLESS)DC04 DCL3016,Active,14,STOCK CAGE,EA,2T066C,17.18,AAC Plant 2
S011743,"AUGER 1/5"" HIGH FLOW PART # SAME DS03",Active,2,STOCK CAGE,EA,TC2-D10R,900,AAC Plant 2
S011744,SPROCKET [ 50B14-1] SCRAP CONVEYOR MAY USE #H50B14F-1 W/HARDENED TEETH,Active,1,STOCK CAGE,EA,2B002A,25.11,AAC Plant 2
S011745,PIONEER CONTROL UNIT [SCU-100CA] TOOL DETECT MODULE MA92,Active,2,STOCK CAGE,EA,1F002B,615.9,AAC Plant 1
S011745,PIONEER CONTROL UNIT [SCU-100CA] TOOL DETECT MODULE MA92,Inactive,0,,,,615.9,AAC Plant 2
S011746,TOYO-OKI  HYTEGRA VALVE [HW3H-B11S-025B-DC] [HW3HB11S025BDC]  MA31 M200 OPC,Active,3,STOCK CAGE,EA,1D105F,306.75,AAC Plant 1
S011746,TOYO-OKI  HYTEGRA VALVE [HW3H-B11S-025B-DC] [HW3HB11S025BDC]  MA31 M200 OPC,Inactive,0,,,,306.75,AAC Plant 2
S011747,SMC CYLINDER [CEP1B20-50L-M9BWVLS] MA13,Active,1,STOCK CAGE,EA,1G019A,885.11,AAC Plant 1
S011747,SMC CYLINDER [CEP1B20-50L-M9BWVLS] MA13,Inactive,0,,,,885.11,AAC Plant 2
S011748,MOTOR ENCODER CABLE [ FC0201028-20 ] LEADWELL V40 MA30,Active,2,STOCK CAGE,EA,1A071C,200,AAC Plant 1
S011748,MOTOR ENCODER CABLE [ FC0201028-20 ] LEADWELL V40 MA30,Active,1,STOCK CAGE,EA,2V040A,200,AAC Plant 2
S011749,CAM FOLLOWER [ IKO CF20-1 UUR Item No—00138847 ] REPLACES KR47LL 2250 TON USED AS WHEEL ON DUMP TABLE 2250#1-2250#4,Active,9,STOCK CAGE,EA,TC4-D07P,90.48,AAC Plant 2
S011750,CYLINDER [CDQ2A63-50DMZ] DC03 2250#10,Inactive,0,,,,81.85,AAC Plant 1
S011750,CYLINDER [CDQ2A63-50DMZ] DC03 2250#10,Active,2,STOCK CAGE,EA,2V127D,81.85,AAC Plant 2
S011751,TOYO-OKI PILOT CHECK VALVE  [HK3H-W-Y1-03] MA13 SML-3002,Active,2,STOCK CAGE,EA,1D115D,428.59,AAC Plant 1
S011751,TOYO-OKI PILOT CHECK VALVE  [HK3H-W-Y1-03] MA13 SML-3002,Inactive,0,,,,428.59,AAC Plant 2
S011752,CKD GAP SWITCH [GPS2-07-15-NGTR-GW2] [GPS20715NGTRGW2] MA13 SML-3002 OR [GPS2-07-15-NGTR-B-GW2] [GPS20715NGTR-BGW2],Active,2,STOCK CAGE,EA,1H041G,268.28,AAC Plant 1
S011752,CKD GAP SWITCH [GPS2-07-15-NGTR-GW2] [GPS20715NGTRGW2] MA13 SML-3002 OR [GPS2-07-15-NGTR-B-GW2] [GPS20715NGTR-BGW2],Inactive,0,,,,268.28,AAC Plant 2
S011753,OMRON SAFETY RELAY CONTROLLER [G9SX-NS202-RT] [G9SXNS202RT]  MA13 SML-3002,Active,1,STOCK CAGE,EA,1M022F,243.98,AAC Plant 1
S011753,OMRON SAFETY RELAY CONTROLLER [G9SX-NS202-RT] [G9SXNS202RT]  MA13 SML-3002,Inactive,0,,,,243.98,AAC Plant 2
S011754,OMRON DOOR SWITCH  [D40A-1C5]  [D40A1C5] MA13 SML-3002,Active,2,STOCK CAGE,EA,1M037F,95.59,AAC Plant 1
S011754,OMRON DOOR SWITCH  [D40A-1C5]  [D40A1C5] MA13 SML-3002,Inactive,0,,,,95.59,AAC Plant 2
S011755,SMC PNEUMATIC CYLINDER  [CU10-10D] [CU1010D] MA13 SML-3002,Active,7,STOCK CAGE,EA,1M041A,18.62,AAC Plant 1
S011755,SMC PNEUMATIC CYLINDER  [CU10-10D] [CU1010D] MA13 SML-3002,Inactive,0,,,,18.62,AAC Plant 2
S011756,OILES BRASS BUSHING [70B-2535] MA13 SML-3002,Active,2,STOCK CAGE,EA,1F018E,4.2,AAC Plant 1
S011756,OILES BRASS BUSHING [70B-2535] MA13 SML-3002,Inactive,0,,,,4.2,AAC Plant 2
S011757,OILES BRASS BUSHING [70B-1210] MA13 SML-3002,Active,2,STOCK CAGE,EA,1F018G,1.25,AAC Plant 1
S011757,OILES BRASS BUSHING [70B-1210] MA13 SML-3002,Inactive,0,,,,1.25,AAC Plant 2
S011758,OILES BRASS BUSHING [70B-1020] MA13 SML-3002,Active,6,STOCK CAGE,EA,1F018F,1.52,AAC Plant 1
S011758,OILES BRASS BUSHING [70B-1020] MA13 SML-3002,Inactive,0,,,,1.52,AAC Plant 2
S011759,SMC CYLINDER [MHZ2-16D-M9BVL]  [MHZ216DM9BVL] MA13 SML-3002 OR [MHZ2-16D] [MHZ216D],Active,2,STOCK CAGE,EA,1M041C,255.26,AAC Plant 1
S011759,SMC CYLINDER [MHZ2-16D-M9BVL]  [MHZ216DM9BVL] MA13 SML-3002 OR [MHZ2-16D] [MHZ216D],Inactive,0,,,,255.26,AAC Plant 2
S011760,OMRON APERTURE METAL CLIP (2=1 SET) [E39-S65D] [E39S65D] MA13 SML-3002 [ MA13 SML3002],Active,2,STOCK CAGE,EA,1M044F,9.98,AAC Plant 1
S011760,OMRON APERTURE METAL CLIP (2=1 SET) [E39-S65D] [E39S65D] MA13 SML-3002 [ MA13 SML3002],Inactive,0,,,,9.98,AAC Plant 2
S011761,NIKKEN SPINDLE [ NS8262 ] MA33 MML7103 MML7102 HKD3 TYPE 1 SPECIFIC TO MACHINE,OBSOLETE,0,,,,19853.05,AAC Plant 1
S011762,LOCATOR PIN[A-10 PR729 J-15]AS15 787 WPC,Active,6,STOCK CAGE,EA,1N039B,128,AAC Plant 1
S011763,LOCATOR PIN  [A-10 PR729 J-16]AS15 787 WPC   ZML7004,Active,9,STOCK CAGE,EA,1N045F,148,AAC Plant 1
S011764,NYLON LOCATOR PIN TIP [A-10 PR729 J-17]AS15 787 WPC  ZML7004,Active,6,STOCK CAGE,EA,1N041F,58,AAC Plant 1
S011765,PIN[A-10 TM654 2J-05]AS15 787 WPC,OBSOLETE,0,,,,98,AAC Plant 1
S011766,PIN[A-10 TM654 TF-1]AS15 787 WPC,OBSOLETE,0,,,,128,AAC Plant 1
S011767,NYLON LOCATOR PIN TIP  [A-10 TM654 1J-10]AS15 787 WPC,OBSOLETE,0,,,,24,AAC Plant 1
S011768,PIN[A-10 TM654 UJ-18]AS15 787 WPC,Active,12,STOCK CAGE,EA,1N037B,156,AAC Plant 1
S011769,PIN[A-10 TM654 1J-02]AS15 787 WPC,OBSOLETE,0,,,,138,AAC Plant 1
S011770,UBE850iS SHOT ROD COUPLING [181-02316:222-0(1)(2)(3)(4)] DC91,Active,1,STOCK CAGE,EA,1ZR019F,2438,AAC Plant 1
S011771,NX500C SHOT ROD COUPLING [181-61224:201-01(1)(3)]DC91 UBE,Active,2,STOCK CAGE,EA,1ZS005B,6946,AAC Plant 1
S011772,NX800 SHOT ROD COUPLING [181-61226:201-3] REPLACES [181-02247:222-0(1)(2)(3)]DC91 UBE,Active,1,STOCK CAGE,EA,1ZS005C,3733,AAC Plant 1
S011773,"UA900 SHOT ROD COUPLING [176-61226:201-1 (1,2,3,4,5)] +176-61226:202-0 W/SPACER (UA900) DC05 DCL9008 DCL9009 UBE",Active,1,STOCK CAGE,EA,1ZS005A,9830,AAC Plant 1
S011774,UB530iS SHOT ROD COUPLING [181-02420:221-0(1)(2)(3)(4)]DC91 UBE,Active,1,STOCK CAGE,EA,1ZR019E,1482,AAC Plant 1
S011775,LACH-8332 50mm FACEMILL WITH PCD CARTRIDGES INSTALLED (MUE-50MM-12-SS-25MM)MA32 MML7011 MML7015,Active,6,STOCK CAGE,EA,TCA-D07G,1024,AAC Plant 1
S011776,COLLET[SK6-6.0]MA32 750F WPC,Active,7,STOCK CAGE,EA,TCC-D11T,34.5,AAC Plant 1
S011777,INACTIVE.....COLLET[SK6-3.0]MA20 750F OPC,Inactive,0,,,,34.5,AAC Plant 1
