epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,35.2373,2.22418,3.55621,0.00221,0.05719,0.23205,0.10565,0.0652,2.05701,3.24779,0.00289,0.0006337,0.0006337,0.0006337
39,35.8038,2.02818,3.61857,0.00204,0.05719,0.23205,0.10565,0.0652,2.05701,3.24779,0.00289,0.0006238,0.0006238,0.0006238
40,36.3907,2.43874,3.66659,0.00196,0.05719,0.23205,0.10565,0.0652,2.05701,3.24779,0.00289,0.0006139,0.0006139,0.0006139
41,36.9633,2.1051,3.63352,0.00207,0.05719,0.23205,0.10565,0.0652,2.05701,3.24779,0.00289,0.000604,0.000604,0.000604
42,37.5252,2.57673,3.86985,0.00238,0.05719,0.23205,0.10565,0.0652,2.05701,3.24779,0.00289,0.0005941,0.0005941,0.0005941
43,38.4778,2.58774,3.74307,0.00203,0.05719,0.23205,0.10565,0.0652,2.05701,3.24779,0.00289,0.0005842,0.0005842,0.0005842
44,39.052,1.9057,3.54343,0.00217,0.05563,0.25598,0.13469,0.08042,2.06499,2.97749,0.00288,0.0005743,0.0005743,0.0005743
45,39.6177,2.28373,3.48882,0.00206,0.05563,0.25598,0.13469,0.08042,2.06499,2.97749,0.00288,0.0005644,0.0005644,0.0005644
46,40.1969,2.31743,3.57477,0.002,0.05563,0.25598,0.13469,0.08042,2.06499,2.97749,0.00288,0.0005545,0.0005545,0.0005545
47,40.7688,2.48054,3.48467,0.00216,0.05563,0.25598,0.13469,0.08042,2.06499,2.97749,0.00288,0.0005446,0.0005446,0.0005446
48,41.383,2.27556,3.54535,0.00224,0.05563,0.25598,0.13469,0.08042,2.06499,2.97749,0.00288,0.0005347,0.0005347,0.0005347
49,41.9757,2.40332,3.5155,0.00214,0.05563,0.25598,0.13469,0.08042,2.06499,2.97749,0.00288,0.0005248,0.0005248,0.0005248
50,42.5384,2.23214,3.52084,0.00201,0.05563,0.25598,0.13469,0.08042,2.06499,2.97749,0.00288,0.0005149,0.0005149,0.0005149
51,43.1082,1.97089,3.47664,0.00212,0.05563,0.25598,0.13469,0.08042,2.06499,2.97749,0.00288,0.000505,0.000505,0.000505
52,43.7024,1.9703,3.39923,0.00192,0.05778,0.27436,0.15058,0.09479,1.96656,2.8051,0.00271,0.0004951,0.0004951,0.0004951
53,44.4527,1.81184,3.29794,0.00188,0.05778,0.27436,0.15058,0.09479,1.96656,2.8051,0.00271,0.0004852,0.0004852,0.0004852
54,45.0376,2.02089,3.36594,0.00181,0.05778,0.27436,0.15058,0.09479,1.96656,2.8051,0.00271,0.0004753,0.0004753,0.0004753
55,45.5947,2.2511,3.37639,0.00182,0.05778,0.27436,0.15058,0.09479,1.96656,2.8051,0.00271,0.0004654,0.0004654,0.0004654
56,46.1591,2.24807,3.37255,0.00182,0.05778,0.27436,0.15058,0.09479,1.96656,2.8051,0.00271,0.0004555,0.0004555,0.0004555
57,46.7149,1.92957,3.30716,0.00173,0.05778,0.27436,0.15058,0.09479,1.96656,2.8051,0.00271,0.0004456,0.0004456,0.0004456
58,47.5921,2.13072,3.30459,0.0019,0.05778,0.27436,0.15058,0.09479,1.96656,2.8051,0.00271,0.0004357,0.0004357,0.0004357
59,48.1447,2.24999,3.39753,0.00179,0.05778,0.27436,0.15058,0.09479,1.96656,2.8051,0.00271,0.0004258,0.0004258,0.0004258
60,48.7299,2.26409,3.40577,0.0017,0.09833,0.23397,0.16701,0.11103,1.85108,2.66695,0.00263,0.0004159,0.0004159,0.0004159
61,49.2814,2.12909,3.18313,0.00181,0.09833,0.23397,0.16701,0.11103,1.85108,2.66695,0.00263,0.000406,0.000406,0.000406
62,49.8367,2.01956,3.17867,0.00182,0.09833,0.23397,0.16701,0.11103,1.85108,2.66695,0.00263,0.0003961,0.0003961,0.0003961
63,50.3991,2.00084,3.22379,0.00193,0.09833,0.23397,0.16701,0.11103,1.85108,2.66695,0.00263,0.0003862,0.0003862,0.0003862
64,50.9483,1.90707,3.11946,0.00185,0.09833,0.23397,0.16701,0.11103,1.85108,2.66695,0.00263,0.0003763,0.0003763,0.0003763
65,51.5137,2.33915,3.33782,0.00175,0.09833,0.23397,0.16701,0.11103,1.85108,2.66695,0.00263,0.0003664,0.0003664,0.0003664
66,52.0606,2.11067,3.18346,0.00179,0.09833,0.23397,0.16701,0.11103,1.85108,2.66695,0.00263,0.0003565,0.0003565,0.0003565
67,52.9668,1.98741,3.20653,0.00186,0.09833,0.23397,0.16701,0.11103,1.85108,2.66695,0.00263,0.0003466,0.0003466,0.0003466
68,53.5476,1.94803,3.22535,0.00196,0.47059,0.15123,0.18367,0.12189,1.80189,2.57881,0.00268,0.0003367,0.0003367,0.0003367
69,54.1113,1.99914,3.20192,0.00171,0.47059,0.15123,0.18367,0.12189,1.80189,2.57881,0.00268,0.0003268,0.0003268,0.0003268
70,54.6667,2.01828,3.14451,0.00168,0.47059,0.15123,0.18367,0.12189,1.80189,2.57881,0.00268,0.0003169,0.0003169,0.0003169
71,55.247,1.93629,3.20619,0.00212,0.47059,0.15123,0.18367,0.12189,1.80189,2.57881,0.00268,0.000307,0.000307,0.000307
72,55.9201,2.25427,3.15237,0.00174,0.47059,0.15123,0.18367,0.12189,1.80189,2.57881,0.00268,0.0002971,0.0002971,0.0002971
73,56.494,2.32273,3.2122,0.00203,0.47059,0.15123,0.18367,0.12189,1.80189,2.57881,0.00268,0.0002872,0.0002872,0.0002872
74,57.0681,1.78609,3.04324,0.00174,0.47059,0.15123,0.18367,0.12189,1.80189,2.57881,0.00268,0.0002773,0.0002773,0.0002773
75,57.6335,2.28918,3.24683,0.00221,0.47059,0.15123,0.18367,0.12189,1.80189,2.57881,0.00268,0.0002674,0.0002674,0.0002674
76,58.2302,2.14648,3.18546,0.00161,0.44569,0.16947,0.18536,0.12973,1.79387,2.50584,0.00262,0.0002575,0.0002575,0.0002575
77,59.1689,2.08888,3.13968,0.00178,0.44569,0.16947,0.18536,0.12973,1.79387,2.50584,0.00262,0.0002476,0.0002476,0.0002476
78,59.7092,1.86504,3.0854,0.00169,0.44569,0.16947,0.18536,0.12973,1.79387,2.50584,0.00262,0.0002377,0.0002377,0.0002377
79,60.2642,2.23202,3.1248,0.00201,0.44569,0.16947,0.18536,0.12973,1.79387,2.50584,0.00262,0.0002278,0.0002278,0.0002278
80,60.8187,2.09939,3.10847,0.00181,0.44569,0.16947,0.18536,0.12973,1.79387,2.50584,0.00262,0.0002179,0.0002179,0.0002179
81,61.369,2.56584,3.3244,0.00193,0.44569,0.16947,0.18536,0.12973,1.79387,2.50584,0.00262,0.000208,0.000208,0.000208
82,62.1689,2.20449,3.17831,0.00173,0.44569,0.16947,0.18536,0.12973,1.79387,2.50584,0.00262,0.0001981,0.0001981,0.0001981
83,62.7268,1.99694,3.07577,0.00181,0.44569,0.16947,0.18536,0.12973,1.79387,2.50584,0.00262,0.0001882,0.0001882,0.0001882
